,COEFF,QUARTER,REFYEAR,REFWEEK,INTWEEK,COUNTRY,DEGURBA,HHTYPE,HHINST,INTWAVE,INTQUEST,REM,YEAR,HHPRIV,SEX,AGE,NATIONAL,YEARESID,COUNTRYB,PROXY,NOWKREAS,STAPRO,SIGNISAL,COUNTRYW,YSTARTWK,MSTARTWK,FTPT,TEMP,TEMPDUR,HWUSUAL,HWACTUAL,HWOVERP,HWOVERPU,HOURREAS,WISHMORE,HWWISH,LOOKOJ,EXIST2J,STAPRO2J,HWACTUA2,EXISTPR,YEARPR,MONTHPR,STAPROPR,SEEKWORK,SEEKTYPE,SEEKDUR,METHODA,METHODB,METHODC,METHODD,METHODE,METHODF,METHODG,METHODH,METHODI,METHODJ,METHODK,METHODL,METHODM,WANTWORK,AVAILBLE,EDUCSTAT,EDUCLEVL,COURATT,COURLEN,ILOSTAT,ISCO1D,ISCOPR1D,DURUNE,EDUC4WN,HATLEV1D,STARTIME,LEAVCLAS,NACE1D,NACE2J1D,NACEPR1D,HHNBPERS,HATVOC,EDUCVOC,nace2j1d_g,nacepr1d_g
1,0.0274707553,_A,2013,37,41,AT,3.0,1,9,1,2,9,2013,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,5.0,9,000-OWN COUNTRY,2013,6,1,2,3,80,80,40,0,97,0,45.0,1.0,1,9,99,9,9999,99,9,9,2,2,0,0,1,0,1,1,0,0,0,0,0,0,0,9,9,2,9,2,999,1,300.0,999,9,0,M,3,,H,9,9,03,9,9,9,9
97,0.0952517564,_A,2013,4,5,AT,0.0,1,9,2,2,1,2013,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999,99,9,9,9,99,99,99,99,99,9,99.0,9.0,9,9,99,1,2011,10,5,4,3,3,1,1,1,1,1,1,1,0,0,1,0,1,0,9,1,2,9,2,999,2,999.0,300,3,0,M,999,5.0,9,9,G,04,9,9,9,G
101,0.0678848043,_A,2013,45,48,AT,0.0,1,9,3,2,11,2013,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,5.0,9,000-OWN COUNTRY,2006,99,2,1,9,3,5,0,0,1,1,20.0,1.0,1,9,99,9,9999,99,9,9,4,1,0,0,1,1,1,1,1,0,0,1,0,0,0,9,1,2,9,1,4,1,200.0,999,9,1,M,84,,H,9,9,03,9,9,9,9
103,0.0546820298,_A,2013,2,3,AT,3.0,1,9,3,2,1,2013,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999,99,9,9,9,99,99,99,99,99,9,99.0,9.0,9,9,99,1,2008,99,5,4,3,3,1,1,1,1,0,1,0,0,0,1,0,0,0,9,1,2,9,2,999,2,999.0,900,3,0,L,999,8.0,9,9,C,04,9,9,9,B
126,0.031917078,_A,2013,26,30,AT,0.0,1,9,2,2,6,2013,1,1,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999,99,9,9,9,99,99,99,99,99,9,99.0,9.0,9,9,99,1,2013,5,5,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,2,2,9,1,155,3,999.0,800,9,1,M,999,2.0,9,9,H,01,9,9,9,H
129,0.1325086006,_A,2013,36,38,AT,0.0,1,9,1,2,9,2013,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999,99,9,9,9,99,99,99,99,99,9,99.0,9.0,9,9,99,1,2012,8,5,4,2,3,1,0,1,1,1,1,1,0,0,1,0,0,0,9,1,2,9,2,999,2,999.0,500,3,0,M,999,5.0,9,9,G,01,9,9,9,G
160,0.0803294078,_A,2013,31,32,AT,0.0,1,9,2,2,8,2013,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,5.0,9,000-OWN COUNTRY,2008,99,1,1,9,40,40,0,0,97,0,40.0,1.0,1,9,99,9,9999,99,9,9,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,9,9,2,9,2,999,1,900.0,999,9,0,L,60,,H,9,9,01,9,9,9,9
185,0.0610176871,_A,2013,13,15,AT,0.0,1,9,1,2,3,2013,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,9.0,9,NO ANSWER,9999,99,9,9,9,99,99,99,99,99,9,99.0,9.0,9,9,99,1,2013,3,5,4,5,1,1,0,1,1,1,1,0,0,0,1,1,0,0,9,1,1,5,2,999,2,999.0,400,1,1,H,999,1.0,9,9,G,03,9,9,9,G
221,0.076182254,_A,2013,42,44,AT,0.0,1,9,2,2,10,2013,1,2,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,5.0,9,000-OWN COUNTRY,2011,7,1,1,9,40,40,0,0,97,1,52.0,1.0,1,9,99,9,9999,99,9,9,5,1,0,0,1,1,1,1,0,0,0,1,0,0,0,9,1,2,9,2,999,1,400.0,999,9,0,M,27,,H,9,9,01,9,9,9,9
260,0.0576907937,_A,2013,28,29,AT,0.0,1,9,3,2,7,2013,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,5.0,9,000-OWN COUNTRY,2008,99,2,1,9,8,6,0,0,7,1,15.0,1.0,1,9,99,9,9999,99,9,9,5,1,0,0,1,1,1,1,1,0,0,0,0,0,0,9,1,1,5,2,999,1,900.0,999,9,1,M,60,,H,9,9,04,9,9,9,9
