,COEFF,QUARTER,REFYEAR,REFWEEK,INTWEEK,COUNTRY,DEGURBA,HHTYPE,HHINST,INTWAVE,INTQUEST,REM,YEAR,HHPRIV,SEX,AGE,NATIONAL,YEARESID,COUNTRYB,PROXY,NOWKREAS,STAPRO,SIGNISAL,COUNTRYW,YSTARTWK,MSTARTWK,FTPT,TEMP,TEMPDUR,HWUSUAL,HWACTUAL,HWOVERP,HWOVERPU,HOURREAS,WISHMORE,HWWISH,LOOKOJ,EXIST2J,STAPRO2J,HWACTUA2,EXISTPR,YEARPR,MONTHPR,STAPROPR,SEEKWORK,SEEKTYPE,SEEKDUR,METHODA,METHODB,METHODC,METHODD,METHODE,METHODF,METHODG,METHODH,METHODI,METHODJ,METHODK,METHODL,METHODM,WANTWORK,AVAILBLE,EDUCSTAT,EDUCLEVL,COURATT,COURLEN,ILOSTAT,ISCO1D,ISCOPR1D,DURUNE,EDUC4WN,HATLEV1D,STARTIME,LEAVCLAS,NACE1D,NACE2J1D,NACEPR1D,HHNBPERS,HATVOC,EDUCVOC,nace2j1d_g,nacepr1d_g
1,0.1502050304,_A,2013,30,30,BE,0.0,1,9,1,2,7,2013,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9,99.0,99.0,99.0,99,99,9.0,99.0,9,9,9,99.0,1,2013.0,6.0,5,4,3.0,1.0,1,1,0,1,0,1,0,0,0,0,0,0,0,9.0,1,2,9.0,2,999,2,999.0,900,1.0,0,M,999.0,2.0,9,9,P,02,9,9,9,H
43,0.103832735,_A,2013,19,20,BE,0.0,1,9,1,2,5,2013,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2003.0,99.0,1,1,9,40.0,24.0,0.0,0,12,0.0,,1,1,9,99.0,9,9999.0,99.0,9,9,2.0,1.0,0,0,1,0,0,1,0,0,0,0,0,0,0,9.0,9,2,9.0,2,999,1,400.0,999,9.0,0,M,120.0,,F,9,9,02,9,9,9,9
47,0.0892245565,_A,2013,29,31,BE,0.0,1,9,1,2,7,2013,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9,99.0,99.0,99.0,99,99,9.0,99.0,9,9,9,99.0,0,9999.0,99.0,9,4,4.0,2.0,1,1,0,0,1,0,0,0,0,0,0,0,0,9.0,1,2,9.0,2,999,2,999.0,999,2.0,0,L,999.0,,9,9,9,01,9,9,9,9
64,0.12118563,_A,2013,30,31,BE,0.0,1,9,1,2,7,2013,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,7,5.0,1,000-OWN COUNTRY,2011.0,9.0,1,2,2,40.0,0.0,0.0,0,99,,,1,1,9,99.0,9,9999.0,99.0,9,9,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.0,9,2,9.0,2,999,1,200.0,999,9.0,0,H,22.0,,H,9,9,02,9,9,9,9
87,0.1880962584,_A,2013,17,20,BE,0.0,1,9,1,2,4,2013,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2012.0,12.0,1,1,9,38.0,38.0,0.0,0,97,0.0,,1,1,9,99.0,9,9999.0,99.0,9,9,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,9,2,9.0,2,999,1,500.0,999,9.0,0,L,4.0,,G,9,9,02,9,9,9,9
111,0.0973435898,_A,2013,14,17,BE,,1,9,1,2,4,2013,1,2,47.0,NO ANSWER,,NO ANSWER,2.0,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9,99.0,99.0,99.0,99,99,9.0,99.0,9,9,9,99.0,1,1992.0,99.0,9,4,4.0,2.0,0,1,0,0,1,1,0,0,0,1,0,0,0,9.0,1,2,9.0,2,999,2,999.0,999,2.0,0,H,999.0,8.0,9,9,9,,9,9,9,9
122,0.0992522861,_A,2013,37,38,BE,3.0,1,9,1,2,9,2013,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9,99.0,99.0,99.0,99,99,9.0,99.0,9,9,9,99.0,0,9999.0,99.0,9,4,3.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,9.0,1,2,9.0,2,999,2,999.0,999,1.0,0,H,999.0,,9,9,9,,9,9,9,9
141,0.1283499639,_A,2013,50,50,BE,0.0,1,9,1,2,12,2013,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,0.0,9,000-OWN COUNTRY,2012.0,11.0,2,9,9,24.0,24.0,99.0,99,97,1.0,98.0,1,1,9,99.0,9,9999.0,99.0,9,9,1.0,1.0,0,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,3,5.0,2,999,1,300.0,999,9.0,1,H,13.0,,H,9,9,05,9,9,9,9
160,0.0659325746,_A,2013,22,23,BE,0.0,1,9,1,2,5,2013,1,1,47.0,NO ANSWER,,NO ANSWER,1.0,99,5.0,9,000-OWN COUNTRY,2004.0,99.0,2,1,9,20.0,20.0,0.0,0,97,1.0,38.0,1,1,9,99.0,9,9999.0,99.0,9,9,3.0,3.0,0,0,1,0,0,1,0,0,0,0,0,0,0,9.0,1,2,9.0,2,999,1,500.0,999,9.0,0,M,108.0,,H,9,9,02,9,9,9,9
184,0.0962071661,_A,2013,47,47,BE,0.0,1,9,1,2,11,2013,1,1,65.0,NO ANSWER,,NO ANSWER,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9,99.0,99.0,99.0,99,99,9.0,99.0,9,9,9,99.0,1,2009.0,99.0,5,4,3.0,3.0,1,1,0,1,0,0,0,0,0,0,0,0,0,9.0,1,2,9.0,1,48,2,999.0,700,3.0,1,L,999.0,8.0,9,9,F,02,9,9,9,F
