,COEFF,QUARTER,REFYEAR,REFWEEK,INTWEEK,COUNTRY,DEGURBA,HHTYPE,HHINST,INTWAVE,INTQUEST,REM,YEAR,HHPRIV,SEX,AGE,NATIONAL,YEARESID,COUNTRYB,PROXY,NOWKREAS,STAPRO,SIGNISAL,COUNTRYW,YSTARTWK,MSTARTWK,FTPT,TEMP,TEMPDUR,HWUSUAL,HWACTUAL,HWOVERP,HWOVERPU,HOURREAS,WISHMORE,HWWISH,LOOKOJ,EXIST2J,STAPRO2J,HWACTUA2,EXISTPR,YEARPR,MONTHPR,STAPROPR,SEEKWORK,SEEKTYPE,SEEKDUR,METHODA,METHODB,METHODC,METHODD,METHODE,METHODF,METHODG,METHODH,METHODI,METHODJ,METHODK,METHODL,METHODM,WANTWORK,AVAILBLE,EDUCSTAT,EDUCLEVL,COURATT,COURLEN,ILOSTAT,ISCO1D,ISCOPR1D,DURUNE,EDUC4WN,HATLEV1D,STARTIME,LEAVCLAS,NACE1D,NACE2J1D,NACEPR1D,HHNBPERS,HATVOC,EDUCVOC,nace2j1d_g,nacepr1d_g
2,0.2370547739,_A,2013,30,31,BG,,1,9,3,2,7,2013,1,2,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2010,99.0,5,4,2.0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,200.0,3,0,H,999.0,7.0,9,9,P,03,9,9,9,H
28,0.1954848036,_A,2013,44,45,BG,3.0,1,9,3,2,10,2013,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2008,99.0,5,4,5.0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,700.0,3,0,M,999.0,8.0,9,9,C,02,9,9,9,B
39,0.2269852375,_A,2013,46,47,BG,3.0,1,9,3,2,11,2013,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2011,6.0,5,4,1.0,3,0,0,1,1,0,1,0,1,0,0,0,0,0,9,1,2,9,2,999,2,999.0,300.0,3,0,M,999.0,7.0,9,9,C,03,9,9,9,B
69,0.5038243603,_A,2013,16,17,BG,0.0,1,9,3,2,4,2013,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2011,1.0,5,4,3.0,3,1,0,1,1,1,0,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,500.0,3,0,H,999.0,7.0,9,9,G,04,9,9,9,G
72,0.4723049896,_A,2013,24,25,BG,3.0,1,9,3,2,6,2013,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,0,9999,99.0,9,4,6.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,999.0,1,0,L,999.0,,9,9,9,05,9,9,9,9
79,0.2077790902,_A,2013,18,19,BG,3.0,1,9,3,2,5,2013,1,2,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2012,5.0,5,4,6.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,900.0,3,0,L,999.0,5.0,9,9,N,02,9,9,9,H
85,0.3195690252,_A,2013,9,10,BG,0.0,1,9,3,2,2,2013,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,5.0,9,000-OWN COUNTRY,2012.0,7.0,1,1,9.0,,,,,99,1,48.0,1,1,9,99.0,9,9999,99.0,9,9,2.0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,9,1,2,9,2,999,1,900.0,999.0,9,0,M,7.0,,F,9,9,03,9,9,9,9
87,0.2682293513,_A,2013,16,17,BG,3.0,1,9,3,2,4,2013,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2012,12.0,5,4,6.0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,700.0,1,0,L,999.0,3.0,9,9,C,6+,9,9,9,B
89,0.1580126323,_A,2013,13,14,BG,3.0,1,9,3,2,3,2013,1,1,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,1990,99.0,9,4,6.0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,999.0,3,0,L,999.0,8.0,9,9,9,03,9,9,9,9
95,0.1571969528,_A,2013,52,2,BG,0.0,1,9,3,2,12,2013,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,1994,99.0,9,4,6.0,3,0,0,0,1,1,1,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,999.0,3,0,M,999.0,8.0,9,9,9,03,9,9,9,9
108,0.299383715,_A,2013,9,10,BG,3.0,1,9,3,2,2,2013,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2011,3.0,5,4,6.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,800.0,3,0,L,999.0,6.0,9,9,C,03,9,9,9,B
112,0.3062192469,_A,2013,36,38,BG,0.0,1,9,3,2,9,2013,1,2,32.0,NO ANSWER,,NO ANSWER,1,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,0,9999,99.0,9,4,2.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,999.0,3,0,H,999.0,,9,9,9,04,9,9,9,9
152,0.5369538829,_A,2013,6,7,BG,0.0,1,9,3,2,2,2013,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,9.0,9,NO ANSWER,9999.0,99.0,9,9,9.0,99.0,99.0,99.0,99.0,99,9,99.0,9,9,9,99.0,1,2011,10.0,5,4,2.0,3,0,0,1,1,1,1,1,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,900.0,3,0,M,999.0,5.0,9,9,F,03,9,9,9,F
