,COEFF,QUARTER,REFYEAR,REFWEEK,INTWEEK,COUNTRY,DEGURBA,HHTYPE,HHINST,INTWAVE,INTQUEST,REM,YEAR,HHPRIV,SEX,AGE,NATIONAL,YEARESID,COUNTRYB,PROXY,NOWKREAS,STAPRO,SIGNISAL,COUNTRYW,YSTARTWK,MSTARTWK,FTPT,TEMP,TEMPDUR,HWUSUAL,HWACTUAL,HWOVERP,HWOVERPU,HOURREAS,WISHMORE,HWWISH,LOOKOJ,EXIST2J,STAPRO2J,HWACTUA2,EXISTPR,YEARPR,MONTHPR,STAPROPR,SEEKWORK,SEEKTYPE,SEEKDUR,METHODA,METHODB,METHODC,METHODD,METHODE,METHODF,METHODG,METHODH,METHODI,METHODJ,METHODK,METHODL,METHODM,WANTWORK,AVAILBLE,EDUCSTAT,EDUCLEVL,COURATT,COURLEN,ILOSTAT,ISCO1D,ISCOPR1D,DURUNE,EDUC4WN,HATLEV1D,STARTIME,LEAVCLAS,NACE1D,NACE2J1D,NACEPR1D,HHNBPERS,HATVOC,EDUCVOC,nace2j1d_g,nacepr1d_g
14,0.0131874859,_A,2013,6,7.0,CY,0.0,1,9,2,2,2,2013,1,1,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999,99,9,9,9,99,99,99,99,99,9,99,9,9,9,99,1,2003,99,9,4,2,3,0,0,0,1,0,1,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,999,3,0,H,999.0,8.0,9,9,9,03,9,9,9,9
15,0.0255806786,_A,2013,27,28.0,CY,0.0,1,9,5,2,7,2013,1,1,32.0,NO ANSWER,,NO ANSWER,1,99,9.0,9,NO ANSWER,9999,99,9,9,9,99,99,99,99,99,9,99,9,9,9,99,1,2010,99,0,4,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,9,1,3,5,2,999,2,999.0,900,3,1,M,999.0,7.0,9,9,N,04,9,9,9,H
19,0.0232299884,_A,2013,20,21.0,CY,0.0,1,9,4,2,5,2013,1,1,32.0,005-EU28,11.0,005-EU28,1,1,,9,000-OWN COUNTRY,2013,2,2,9,9,0,0,99,99,99,1,40,1,1,9,99,9,9999,99,9,9,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,9,1,2,9,2,999,1,,999,9,0,L,3.0,,F,9,9,,9,9,9,9
21,0.0181108151,_A,2013,46,47.0,CY,0.0,1,9,3,2,11,2013,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,1,0.0,9,000-OWN COUNTRY,2002,99,1,9,9,40,0,99,99,99,1,45,1,1,9,99,9,9999,99,9,9,3,3,0,0,1,1,0,1,0,0,0,0,0,0,0,9,1,2,9,2,999,1,700.0,999,9,0,M,132.0,,F,9,9,04,9,9,9,9
30,0.0205210789,_A,2013,33,34.0,CY,0.0,1,9,1,2,8,2013,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,9.0,9,NO ANSWER,9999,99,9,9,9,99,99,99,99,99,9,99,9,9,9,99,1,2010,99,0,4,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,300,3,0,L,999.0,7.0,9,9,F,04,9,9,9,F
38,0.0257993988,_A,2013,37,39.0,CY,0.0,1,9,3,2,9,2013,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,9.0,9,NO ANSWER,9999,99,9,9,9,99,99,99,99,99,9,99,9,9,9,99,1,2004,99,9,4,3,3,1,0,0,1,0,1,0,0,0,0,1,0,0,9,1,2,9,2,999,2,999.0,999,3,0,H,999.0,8.0,9,9,9,03,9,9,9,9
49,0.0282236105,_A,2013,46,47.0,CY,0.0,1,9,6,2,11,2013,1,1,32.0,005-EU28,11.0,005-EU28,1,99,,9,000-OWN COUNTRY,2013,2,2,9,9,16,16,99,99,97,1,40,1,1,9,99,9,9999,99,9,9,3,2,0,0,1,1,0,1,0,0,0,0,0,0,0,9,1,2,9,2,999,1,,999,9,0,L,9.0,,,9,9,,9,9,9,9
67,0.0195971315,_A,2013,35,39.0,CY,0.0,1,9,5,2,8,2013,1,2,32.0,NO ANSWER,,NO ANSWER,1,1,0.0,9,000-OWN COUNTRY,2000,99,2,9,9,0,0,99,99,99,1,40,1,1,9,99,9,9999,99,9,9,5,1,0,0,1,1,0,1,0,0,0,0,0,0,0,9,1,2,9,2,999,1,200.0,999,9,0,H,156.0,,H,9,9,03,9,9,9,9
75,0.0277192476,_A,2013,47,48.0,CY,3.0,1,9,5,2,11,2013,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,5.0,9,000-OWN COUNTRY,2013,6,1,1,9,60,60,0,0,97,0,40,1,1,9,99,9,9999,99,9,9,2,3,0,0,1,1,0,1,0,0,0,1,1,0,0,9,9,2,9,2,999,1,900.0,999,9,0,H,5.0,,B,9,9,,9,9,9,9
91,0.0234096827,_A,2013,25,26.0,CY,0.0,1,9,2,2,6,2013,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,9.0,9,NO ANSWER,9999,99,9,9,9,99,99,99,99,99,9,99,9,9,9,99,1,2013,3,5,4,3,1,1,0,1,1,0,1,0,0,0,0,0,0,1,9,1,2,9,2,999,2,999.0,700,1,0,M,999.0,3.0,9,9,F,04,9,9,9,F
93,0.0160177884,_A,2013,24,25.0,CY,0.0,1,9,6,2,6,2013,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999,99,9,9,9,99,99,99,99,99,9,99,9,9,9,99,1,2012,5,5,4,2,3,0,0,1,1,0,0,0,0,0,1,1,0,0,9,1,2,9,2,999,2,999.0,300,3,0,L,999.0,5.0,9,9,F,03,9,9,9,F
97,0.0236341848,_A,2013,23,24.0,CY,0.0,1,9,1,2,6,2013,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,9.0,9,NO ANSWER,9999,99,9,9,9,99,99,99,99,99,9,99,9,9,9,99,1,2012,11,5,4,3,2,0,0,1,1,1,1,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,200,2,0,H,999.0,4.0,9,9,P,02,9,9,9,H
100,0.017071872,_A,2013,13,14.0,CY,3.0,1,9,1,2,3,2013,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,9.0,9,NO ANSWER,9999,99,9,9,9,99,99,99,99,99,9,99,9,9,9,99,1,2005,99,9,4,6,3,0,0,0,1,0,0,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,999,3,0,M,999.0,8.0,9,9,9,04,9,9,9,9
