,COEFF,QUARTER,REFYEAR,REFWEEK,COUNTRY,DEGURBA,HHTYPE,HHINST,INTWAVE,INTQUEST,REM,YEAR,HHPRIV,SEX,AGE,NATIONAL,YEARESID,COUNTRYB,PROXY,NOWKREAS,STAPRO,SIGNISAL,COUNTRYW,YSTARTWK,MSTARTWK,FTPT,TEMP,TEMPDUR,HWUSUAL,HWACTUAL,HWOVERP,HWOVERPU,HOURREAS,WISHMORE,HWWISH,LOOKOJ,EXIST2J,STAPRO2J,HWACTUA2,EXISTPR,YEARPR,MONTHPR,STAPROPR,SEEKWORK,SEEKTYPE,SEEKDUR,METHODA,METHODB,METHODC,METHODD,METHODE,METHODF,METHODG,METHODH,METHODI,METHODJ,METHODK,METHODL,METHODM,WANTWORK,AVAILBLE,EDUCSTAT,EDUCLEVL,COURATT,COURLEN,ILOSTAT,DURUNE,EDUC4WN,HATLEV1D,STARTIME,LEAVCLAS,NACE1D,NACE2J1D,NACEPR1D,HATVOC,EDUCVOC,nace2j1d_g,nacepr1d_g
21,0.1105050416,_A,2004,14,DK,0.0,1,9,1.0,2,4,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2003.0,3,5.0,4,2.0,3.0,1,0,1,0,1,1,0,0,0,1,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,3.0,0.0,H,999.0,5.0,9.0,9.0,,9,9,9.0,
24,0.5695772965,_A,2004,20,DK,0.0,1,9,1.0,2,5,2004,1,2,20.0,NO ANSWER,,NO ANSWER,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2004.0,2,5.0,4,6.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,1,1.0,5.0,2.0,999.0,3.0,9.0,1.0,M,999.0,3.0,9.0,9.0,,9,9,9.0,
34,0.3437803918,_A,2004,20,DK,0.0,1,9,3.0,2,5,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2003.0,5.0,1.0,1.0,9.0,42.0,37.0,,,11.0,,30.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,3.0,1.0,0,0,0,0,1,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,1.0,20.0,1.0,9.0,1.0,H,12.0,,,9.0,9.0,9,9,9.0,9.0
38,0.0781724554,_A,2004,26,DK,0.0,1,9,2.0,2,6,2004,1,1,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,1997.0,99,5.0,4,3.0,3.0,1,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,3.0,0.0,H,999.0,8.0,9.0,9.0,,9,9,9.0,
43,0.6370552648,_A,2004,20,DK,3.0,1,9,3.0,2,5,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2000.0,99.0,1.0,1.0,9.0,43.0,41.0,,,4.0,,39.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,2.0,1.0,0,0,1,0,1,1,0,0,0,0,0,0,0,9.0,2,1.0,5.0,2.0,999.0,1.0,9.0,1.0,M,48.0,,,9.0,9.0,9,9,9.0,9.0
47,0.0785953992,_A,2004,15,DK,3.0,1,9,2.0,2,4,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2001.0,99.0,2.0,1.0,9.0,24.0,16.0,,,12.0,1.0,30.0,1.0,1.0,9.0,99.0,9.0,9999.0,99,9.0,9,4.0,3.0,0,0,1,1,1,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,1.0,4.0,1.0,9.0,1.0,L,36.0,,,9.0,9.0,9,9,9.0,9.0
48,0.0591318476,_A,2004,23,DK,0.0,1,9,1.0,2,6,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2004.0,5,5.0,4,3.0,3.0,0,1,0,0,1,1,0,0,0,1,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,1.0,0.0,H,999.0,2.0,9.0,9.0,,9,9,9.0,
72,0.3807577505,_A,2004,18,DK,0.0,1,9,2.0,2,4,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2004.0,3,5.0,4,3.0,1.0,1,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,1.0,0.0,M,999.0,2.0,9.0,9.0,,9,9,9.0,
83,0.1176972966,_A,2004,14,DK,0.0,1,9,3.0,2,4,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2003.0,3.0,1.0,1.0,9.0,37.0,50.0,,,16.0,,37.0,1.0,2.0,5.0,5.0,9.0,9999.0,99,9.0,9,3.0,1.0,0,0,1,1,1,1,0,0,0,0,0,0,0,9.0,9,2.0,9.0,2.0,999.0,1.0,9.0,0.0,M,13.0,,,,9.0,9,9,,9.0
92,0.1166263655,_A,2004,18,DK,0.0,1,9,2.0,2,4,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99.0,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2003.0,8,5.0,4,3.0,2.0,1,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,2.0,0.0,M,999.0,4.0,9.0,9.0,,9,9,9.0,
