,COEFF,QUARTER,REFYEAR,REFWEEK,INTWEEK,COUNTRY,DEGURBA,HHTYPE,HHINST,INTWAVE,INTQUEST,REM,YEAR,HHPRIV,SEX,AGE,NATIONAL,YEARESID,COUNTRYB,PROXY,NOWKREAS,STAPRO,SIGNISAL,COUNTRYW,YSTARTWK,MSTARTWK,FTPT,TEMP,TEMPDUR,HWUSUAL,HWACTUAL,HWOVERP,HWOVERPU,HOURREAS,WISHMORE,HWWISH,LOOKOJ,EXIST2J,STAPRO2J,HWACTUA2,EXISTPR,YEARPR,MONTHPR,STAPROPR,SEEKWORK,SEEKTYPE,SEEKDUR,METHODA,METHODB,METHODC,METHODD,METHODE,METHODF,METHODG,METHODH,METHODI,METHODJ,METHODK,METHODL,METHODM,WANTWORK,AVAILBLE,EDUCSTAT,EDUCLEVL,COURATT,COURLEN,ILOSTAT,ISCO1D,ISCOPR1D,DURUNE,EDUC4WN,HATLEV1D,STARTIME,LEAVCLAS,NACE1D,NACE2J1D,NACEPR1D,HATVOC,EDUCVOC,nace2j1d_g,nacepr1d_g
8,,_A,2013,21,23.0,DK,0.0,1,9,4,2,5,2013,1,2.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,,9999.0,99,9,4,3,2,1,1,1,1,1,1,0,0,0,1,0,0,0,9.0,1,2.0,9.0,,999.0,2.0,999.0,999.0,2.0,,,999.0,,9,9,9,9,9,9,9
23,0.0516004556,_A,2013,42,44.0,DK,3.0,1,9,4,2,10,2013,1,2.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2013.0,10,5,4,3,1,1,0,1,1,1,1,0,0,0,1,1,0,0,9.0,2,2.0,9.0,2.0,999.0,3.0,999.0,500.0,9.0,0.0,M,999.0,1.0,9,9,Q,9,9,9,H
48,0.1378118434,_A,2013,19,21.0,DK,0.0,1,9,3,2,5,2013,1,1.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2013.0,2,5,4,3,1,1,0,1,1,1,1,0,0,0,1,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,999.0,900.0,1.0,0.0,L,999.0,3.0,9,9,G,9,9,9,G
63,0.0420903275,_A,2013,12,13.0,DK,0.0,1,9,4,2,3,2013,1,1.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2013.0,3.0,1.0,2.0,1.0,37.0,37.0,0,0,97.0,0.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9.0,9,2.0,9.0,1.0,30.0,1.0,700.0,999.0,9.0,1.0,M,0.0,,F,9,9,9,9,9,9
74,0.0311261422,_A,2013,41,43.0,DK,3.0,1,9,2,2,10,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,0.0,9999.0,99,9,4,5,1,0,0,1,1,0,1,0,0,0,1,0,0,0,9.0,1,1.0,3.0,1.0,15.0,2.0,999.0,999.0,1.0,1.0,L,999.0,,9,9,9,9,9,9,9
75,0.1143588819,_A,2013,12,14.0,DK,0.0,1,9,3,2,3,2013,1,2.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2009.0,99,5,4,3,3,1,0,1,1,1,1,0,0,0,1,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,999.0,200.0,3.0,0.0,H,999.0,8.0,9,9,M,9,9,9,H
84,0.0275551145,_A,2013,4,5.0,DK,3.0,1,9,2,2,1,2013,1,2.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,4,5.0,9,000-OWN COUNTRY,2002.0,99.0,2.0,1.0,9.0,25.0,0.0,0,0,99.0,1.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,3,1,0,0,1,1,1,1,0,0,0,1,0,0,0,9.0,2,2.0,9.0,1.0,9.0,1.0,200.0,999.0,9.0,1.0,H,132.0,,H,9,9,9,9,9,9
102,0.0837217348,_A,2013,52,2.0,DK,0.0,1,9,4,2,12,2013,1,1.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2010.0,99.0,1.0,1.0,9.0,37.0,20.0,0,0,11.0,1.0,40.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,3,1,0,0,1,0,1,1,1,0,0,0,0,0,0,9.0,2,2.0,9.0,2.0,999.0,1.0,800.0,999.0,9.0,0.0,M,36.0,,G,9,9,9,9,9,9
106,0.0148126195,_A,2013,21,22.0,DK,3.0,1,9,4,2,5,2013,1,2.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2013.0,2.0,2.0,1.0,9.0,10.0,8.0,0,0,7.0,0.0,10.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9.0,9,1.0,3.0,1.0,28.0,1.0,500.0,999.0,9.0,1.0,L,3.0,,H,9,9,9,9,9,9
116,0.0521978287,_A,2013,20,22.0,DK,0.0,1,9,3,2,5,2013,1,1.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2012.0,1,5,4,2,3,1,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,999.0,400.0,3.0,0.0,M,999.0,5.0,9,9,G,9,9,9,G
