,COEFF,QUARTER,REFYEAR,REFWEEK,INTWEEK,COUNTRY,DEGURBA,HHTYPE,HHINST,INTWAVE,INTQUEST,REM,YEAR,HHPRIV,SEX,AGE,NATIONAL,YEARESID,COUNTRYB,PROXY,NOWKREAS,STAPRO,SIGNISAL,COUNTRYW,YSTARTWK,MSTARTWK,FTPT,TEMP,TEMPDUR,HWUSUAL,HWACTUAL,HWOVERP,HWOVERPU,HOURREAS,WISHMORE,HWWISH,LOOKOJ,EXIST2J,STAPRO2J,HWACTUA2,EXISTPR,YEARPR,MONTHPR,STAPROPR,SEEKWORK,SEEKTYPE,SEEKDUR,METHODA,METHODB,METHODC,METHODD,METHODE,METHODF,METHODG,METHODH,METHODI,METHODJ,METHODK,METHODL,WANTWORK,AVAILBLE,EDUCSTAT,EDUCLEVL,COURATT,COURLEN,ILOSTAT,DURUNE,EDUC4WN,HATLEV1D,STARTIME,LEAVCLAS,NACE1D,NACE2J1D,NACEPR1D,HHNBPERS,HATVOC,EDUCVOC,nace2j1d_g,nacepr1d_g
18,0.3514461148,_A,2004,17,18,ES,0.0,1,9,1,2,4,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2004,4.0,5.0,4,2.0,1.0,1,1,1,1,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,1.0,0,L,999,1.0,9.0,9.0,,05,9,9,9.0,
23,0.1118254175,_A,2004,20,21,ES,3.0,1,9,3,2,5,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2004,2.0,2,2,3.0,6,6,,,97,1.0,40.0,1,1,9.0,99,9,9999,99.0,9.0,9,6.0,2.0,0,0,0,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,1.0,,1,9.0,1,H,3,,,9.0,9.0,04,9,9,9.0,9.0
37,0.1827398206,_A,2004,21,22,ES,3.0,1,9,3,2,5,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,0,9999,99.0,9.0,4,,,0,0,0,0,0,0,0,0,0,0,0.0,0,9.0,1,1,3.0,2.0,999.0,3,9.0,1,M,999,,9.0,9.0,9.0,05,9,9,9.0,9.0
48,0.1195694217,_A,2004,21,22,ES,3.0,1,9,1,2,5,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2003,6.0,5.0,4,2.0,2.0,0,0,0,0,0,0,0,0,0,0,1.0,0,9.0,1,2,9.0,2.0,999.0,3,9.0,0,L,999,4.0,9.0,9.0,,04,9,9,9.0,
50,0.4461198606,_A,2004,24,25,ES,3.0,1,9,6,2,6,2004,1,2,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,5.0,9,000-OWN COUNTRY,2001,99.0,2,2,,16,16,,,97,1.0,30.0,1,1,9.0,99,9,9999,99.0,9.0,9,2.0,3.0,0,0,1,1,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,1,9.0,0,L,36,,,9.0,9.0,02,9,9,9.0,9.0
66,0.1958769512,_A,2004,16,21,ES,0.0,1,9,3,2,4,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,1999,99.0,5.0,4,2.0,3.0,0,0,1,1,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,3.0,0,L,999,8.0,9.0,9.0,,04,9,9,9.0,
68,0.1505651756,_A,2004,21,22,ES,0.0,1,9,6,2,5,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2001,99.0,5.0,4,6.0,3.0,0,0,1,1,0,1,0,0,0,1,0.0,0,9.0,1,2,9.0,2.0,999.0,2,3.0,0,L,999,7.0,9.0,9.0,,6+,9,9,9.0,
70,0.1830862006,_A,2004,20,21,ES,0.0,1,9,1,2,5,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2004,4.0,5.0,4,2.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0,0,9.0,2,2,9.0,2.0,999.0,3,9.0,0,L,999,2.0,9.0,9.0,,02,9,9,9.0,
85,0.2226958355,_A,2004,17,18,ES,0.0,1,9,1,2,4,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2000,99.0,5.0,4,6.0,3.0,0,0,1,1,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,3.0,0,L,999,8.0,9.0,9.0,,04,9,9,9.0,
86,0.1028909899,_A,2004,21,22,ES,0.0,1,9,3,2,5,2004,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2004,2.0,5.0,4,2.0,1.0,1,0,0,0,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,1.0,0,L,999,3.0,9.0,9.0,,03,9,9,9.0,
96,0.2221595534,_A,2004,23,24,ES,0.0,1,9,6,2,6,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2003,6.0,5.0,4,3.0,3.0,1,0,1,0,0,1,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,3.0,0,M,999,5.0,9.0,9.0,,03,9,9,9.0,
103,0.1711986716,_A,2004,14,15,ES,3.0,1,9,1,2,4,2004,1,2,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99.0,9,9,9.0,99,99,99.0,99.0,99,9.0,99.0,9,9,9.0,99,1,2003,11.0,5.0,4,3.0,1.0,0,0,1,1,0,0,0,0,0,0,0.0,0,9.0,1,2,9.0,2.0,999.0,2,1.0,0,L,999,3.0,9.0,9.0,,05,9,9,9.0,
