,COEFF,QUARTER,REFYEAR,COUNTRY,DEGURBA,HHTYPE,HHINST,INTQUEST,YEAR,HHPRIV,SEX,AGE,NATIONAL,YEARESID,COUNTRYB,PROXY,NOWKREAS,STAPRO,SIGNISAL,SUPVISOR,SIZEFIRM,COUNTRYW,YSTARTWK,MSTARTWK,WAYJFOUN,FTPT,FTPTREAS,TEMP,TEMPREAS,TEMPDUR,TEMPAGCY,SHIFTWK,EVENWK,NIGHTWK,SATWK,SUNWK,HWUSUAL,HWACTUAL,HWOVERP,HWOVERPU,HOURREAS,WISHMORE,WAYMORE,HWWISH,HOMEWK,LOOKOJ,LOOKREAS,EXIST2J,STAPRO2J,HWACTUA2,EXISTPR,YEARPR,MONTHPR,LEAVREAS,STAPROPR,SEEKWORK,SEEKREAS,SEEKTYPE,SEEKDUR,METHODA,METHODB,METHODC,METHODD,METHODE,METHODF,METHODG,METHODH,METHODI,METHODJ,METHODK,METHODL,METHODM,WANTWORK,AVAILBLE,AVAIREAS,PRESEEK,NEEDCARE,REGISTER,EDUCSTAT,EDUCLEVL,COURATT,COURLEN,COURPURP,COURWORH,HATYEAR,ILOSTAT,ISCO1D,ISCOPR1D,DURUNE,EDUC4WN,HATLEV1D,METHFW,LENTR4W,PURP4W,STARTIME,LEAVCLAS,INCDECIL,NACE1D,NACE2J1D,NACEPR1D
1724,0.215214,_A,2013,FI,3.0,1,9,2,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,5.0,9,2.0,11.0,000-OWN COUNTRY,2007.0,99.0,9.0,2.0,1.0,1.0,9.0,9.0,0.0,3.0,2.0,3.0,1.0,2.0,30.0,56.0,5.0,0.0,16.0,0.0,9.0,60.0,2.0,1.0,2.0,1.0,9.0,99.0,9.0,9999.0,99.0,99.0,9,9,9.0,3.0,2.0,0,0,1,1,0,1,0,0,0,0,0,0,0,9.0,9,9.0,9.0,9.0,4.0,1.0,5,1.0,26.0,2,4.0,2010.0,1.0,500.0,999.0,9.0,1.0,M,0.0,,,72.0,,1.0,G,9,9
1733,0.148132,_A,2013,FI,3.0,1,9,2,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,7,5.0,1,2.0,10.0,000-OWN COUNTRY,2013.0,8.0,1.0,1.0,9.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,38.0,0.0,0.0,0.0,99.0,0.0,9.0,38.0,2.0,1.0,1.0,1.0,9.0,99.0,9.0,9999.0,99.0,99.0,9,9,9.0,2.0,1.0,1,0,1,0,1,1,0,0,0,0,0,0,0,9.0,9,9.0,9.0,9.0,4.0,2.0,9,2.0,999.0,9,9.0,2012.0,1.0,500.0,999.0,9.0,0.0,M,0.0,9.0,9.0,3.0,,,H,9,9
1738,0.262586,_A,2013,FI,3.0,1,9,2,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,2.0,10.0,000-OWN COUNTRY,2013.0,12.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,3.0,3.0,3.0,1.0,2.0,15.0,15.0,0.0,0.0,97.0,0.0,9.0,15.0,1.0,1.0,2.0,1.0,9.0,99.0,9.0,9999.0,99.0,99.0,9,9,9.0,4.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.0,9,9.0,9.0,9.0,4.0,1.0,3,2.0,999.0,9,9.0,2011.0,1.0,600.0,999.0,9.0,1.0,L,0.0,,,0.0,,1.0,A,9,9
1740,0.267387,_A,2013,FI,3.0,1,9,2,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,2.0,10.0,000-OWN COUNTRY,2013.0,9.0,0.0,1.0,9.0,2.0,2.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,35.0,35.0,0.0,0.0,97.0,0.0,9.0,40.0,3.0,1.0,1.0,1.0,9.0,99.0,9.0,9999.0,99.0,99.0,9,9,9.0,3.0,1.0,1,0,1,1,1,1,1,0,0,0,0,0,0,9.0,9,9.0,9.0,9.0,1.0,2.0,9,2.0,999.0,9,9.0,2010.0,1.0,600.0,999.0,9.0,0.0,L,0.0,9.0,9.0,0.0,,6.0,A,9,9
1746,0.223477,_A,2013,FI,3.0,1,9,2,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,2.0,12.0,000-OWN COUNTRY,2013.0,11.0,0.0,1.0,9.0,2.0,1.0,2.0,0.0,3.0,3.0,3.0,3.0,3.0,40.0,40.0,0.0,0.0,97.0,0.0,9.0,40.0,3.0,1.0,1.0,1.0,9.0,99.0,9.0,9999.0,99.0,99.0,9,9,9.0,2.0,,0,0,1,1,0,0,0,0,0,0,0,0,0,9.0,9,9.0,9.0,9.0,4.0,1.0,3,2.0,999.0,9,9.0,2011.0,1.0,700.0,999.0,9.0,1.0,L,0.0,,,0.0,,1.0,B,9,9
1752,0.217058,_A,2013,FI,3.0,1,9,2,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,1,5.0,1,2.0,10.0,000-OWN COUNTRY,2012.0,1.0,9.0,2.0,1.0,1.0,9.0,9.0,0.0,3.0,3.0,3.0,3.0,3.0,,0.0,0.0,0.0,99.0,0.0,9.0,50.0,3.0,1.0,3.0,1.0,9.0,99.0,9.0,9999.0,99.0,99.0,9,9,9.0,3.0,1.0,0,0,1,1,1,1,0,0,0,0,0,0,0,9.0,9,9.0,9.0,9.0,4.0,1.0,3,2.0,999.0,9,9.0,2007.0,1.0,700.0,999.0,9.0,1.0,L,0.0,,,17.0,,,G,9,9
1767,0.234,_A,2013,FI,3.0,1,9,2,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,5.0,9,2.0,11.0,000-OWN COUNTRY,2013.0,7.0,0.0,1.0,9.0,2.0,2.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,38.0,38.0,0.0,0.0,97.0,1.0,3.0,45.0,3.0,1.0,1.0,1.0,9.0,99.0,9.0,9999.0,99.0,99.0,9,9,9.0,3.0,1.0,0,0,1,1,0,1,0,0,0,0,0,0,0,9.0,1,9.0,9.0,9.0,4.0,2.0,9,2.0,999.0,9,9.0,2012.0,1.0,700.0,999.0,9.0,0.0,M,0.0,9.0,9.0,4.0,,2.0,B,9,9
1770,0.203888,_A,2013,FI,3.0,1,9,2,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,2.0,10.0,000-OWN COUNTRY,2012.0,7.0,1.0,1.0,9.0,1.0,9.0,9.0,0.0,3.0,3.0,2.0,3.0,3.0,38.0,42.0,4.0,0.0,16.0,0.0,9.0,40.0,3.0,1.0,6.0,2.0,0.0,10.0,9.0,9999.0,99.0,99.0,9,9,9.0,3.0,1.0,0,0,1,1,1,1,0,0,0,0,0,0,0,9.0,9,9.0,9.0,9.0,4.0,2.0,9,2.0,999.0,9,9.0,2012.0,1.0,700.0,999.0,9.0,0.0,M,0.0,9.0,9.0,7.0,,2.0,B,H,9
1785,0.208371,_A,2013,FI,3.0,1,9,2,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,1,5.0,1,2.0,13.0,000-OWN COUNTRY,2013.0,5.0,0.0,1.0,9.0,1.0,9.0,9.0,1.0,1.0,2.0,3.0,3.0,3.0,38.0,0.0,0.0,0.0,99.0,0.0,9.0,38.0,3.0,1.0,7.0,1.0,9.0,99.0,9.0,9999.0,99.0,99.0,9,9,9.0,3.0,1.0,0,0,0,0,1,1,0,0,0,0,0,0,0,9.0,9,9.0,9.0,9.0,2.0,2.0,9,2.0,999.0,9,9.0,2010.0,1.0,800.0,999.0,9.0,0.0,L,0.0,9.0,9.0,1.0,,,B,9,9
1787,0.155132,_A,2013,FI,3.0,1,9,2,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,2.0,10.0,000-OWN COUNTRY,2012.0,2.0,9.0,1.0,9.0,1.0,9.0,9.0,0.0,1.0,2.0,3.0,3.0,3.0,40.0,30.0,0.0,0.0,4.0,0.0,9.0,40.0,3.0,1.0,1.0,2.0,5.0,30.0,9.0,9999.0,99.0,99.0,9,9,9.0,2.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,9.0,9,9.0,9.0,9.0,4.0,2.0,9,2.0,999.0,9,9.0,2007.0,1.0,800.0,999.0,9.0,0.0,M,0.0,9.0,9.0,18.0,,2.0,A,A,9
