,COEFF,QUARTER,REFYEAR,REFWEEK,INTWEEK,COUNTRY,DEGURBA,HHTYPE,HHINST,INTWAVE,INTQUEST,REM,YEAR,HHPRIV,SEX,AGE,NATIONAL,YEARESID,COUNTRYB,PROXY,NOWKREAS,STAPRO,SIGNISAL,SUPVISOR,SIZEFIRM,COUNTRYW,YSTARTWK,MSTARTWK,WAYJFOUN,FTPT,FTPTREAS,TEMP,TEMPREAS,TEMPDUR,TEMPAGCY,SHIFTWK,EVENWK,NIGHTWK,SATWK,SUNWK,HWUSUAL,HWACTUAL,HWOVERP,HWOVERPU,HOURREAS,WISHMORE,WAYMORE,HWWISH,HOMEWK,LOOKOJ,LOOKREAS,EXIST2J,STAPRO2J,HWACTUA2,EXISTPR,YEARPR,MONTHPR,LEAVREAS,STAPROPR,SEEKWORK,SEEKREAS,SEEKTYPE,SEEKDUR,METHODA,METHODB,METHODC,METHODD,METHODE,METHODF,METHODG,METHODH,METHODI,METHODJ,METHODK,METHODL,METHODM,WANTWORK,AVAILBLE,AVAIREAS,PRESEEK,NEEDCARE,REGISTER,EDUCSTAT,EDUCLEVL,COURATT,COURLEN,COURPURP,COURWORH,HATYEAR,ILOSTAT,ISCO1D,ISCOPR1D,DURUNE,EDUC4WN,HATLEV1D,METHFW,LENTR4W,PURP4W,STARTIME,LEAVCLAS,INCDECIL,NACE1D,NACE2J1D,NACEPR1D,HHNBPERS
8,0.05402,_A,2013,38,39,HU,3.0,1,9,3,2,9,2013,1,2.0,15-24,005-EU28,00,000-OWN COUNTRY,1,99,9.0,9,9,99,NOT APPLICABLE,9999,99.0,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,9,9,99,9,9,9,9,9,99,1.0,2013,7.0,0.0,5,4,9,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,9,1,9,1,9,2,2.0,9,1.0,25,1,5,2008,2.0,999.0,900,1.0,1.0,M,0.0,,,999,2.0,99.0,9,9,B,2
39,0.01322,_A,2013,51,52,HU,3.0,1,9,2,2,12,2013,1,1.0,40-54,005-EU28,00,000-OWN COUNTRY,1,99,9.0,9,9,99,NOT APPLICABLE,9999,99.0,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,9,9,99,9,9,9,9,9,99,1.0,2013,6.0,1.0,5,4,9,3,2,1,0,1,1,0,1,0,0,0,0,0,0,0,9,1,9,1,9,2,2.0,9,2.0,999,9,9,1981,2.0,999.0,900,2.0,0.0,M,0.0,9.0,9.0,999,4.0,99.0,9,9,H,1
41,0.06494,_A,2013,7,8,HU,4.0,1,9,2,2,2,2013,1,1.0,25-39,000-OWN COUNTRY,00,000-OWN COUNTRY,1,99,9.0,9,9,99,NOT APPLICABLE,9999,99.0,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,9,9,99,9,9,9,9,9,99,1.0,2012,7.0,0.0,5,4,9,3,2,1,1,1,1,1,1,0,0,0,1,0,0,0,9,1,9,1,9,2,2.0,9,2.0,999,9,9,1993,2.0,999.0,800,2.0,0.0,M,0.0,9.0,9.0,999,4.0,99.0,9,9,B,4
48,0.10387,_A,2013,24,25,HU,4.0,1,9,6,2,6,2013,1,1.0,15-24,000-OWN COUNTRY,00,000-OWN COUNTRY,1,99,9.0,9,9,99,NOT APPLICABLE,9999,99.0,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,9,9,99,9,9,9,9,9,99,0.0,9999,99.0,99.0,9,4,9,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,9,1,9,5,9,4,1.0,5,2.0,999,9,9,2013,2.0,999.0,999,1.0,1.0,H,0.0,,,999,,99.0,9,9,9,2
73,0.12585,_A,2013,37,38,HU,4.0,1,9,6,2,9,2013,1,1.0,15-24,000-OWN COUNTRY,00,000-OWN COUNTRY,2,99,9.0,9,9,99,NOT APPLICABLE,9999,99.0,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,9,9,99,9,9,9,9,9,99,0.0,9999,99.0,99.0,9,4,9,2,3,0,0,1,1,0,1,0,0,0,0,0,0,0,9,1,9,5,9,4,2.0,9,2.0,999,9,9,2012,2.0,999.0,999,3.0,0.0,L,0.0,9.0,9.0,999,,99.0,9,9,9,4
107,0.01022,_A,2013,24,25,HU,4.0,1,9,4,2,6,2013,1,2.0,25-39,000-OWN COUNTRY,00,000-OWN COUNTRY,2,99,9.0,9,9,99,NOT APPLICABLE,9999,99.0,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,9,9,99,9,9,9,9,9,99,1.0,2011,7.0,0.0,9,4,9,3,3,1,0,1,0,1,0,0,0,0,1,1,0,0,9,1,9,5,9,1,2.0,9,2.0,999,9,9,2012,2.0,999.0,999,3.0,0.0,M,0.0,9.0,9.0,999,6.0,99.0,9,9,9,1
110,0.02876,_A,2013,17,18,HU,3.0,1,9,2,2,4,2013,1,1.0,25-39,000-OWN COUNTRY,00,000-OWN COUNTRY,2,99,9.0,9,9,99,NOT APPLICABLE,9999,99.0,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,9,9,99,9,9,9,9,9,99,1.0,2010,99.0,1.0,9,4,9,2,3,1,1,1,1,1,1,0,0,0,1,0,0,0,9,1,9,1,9,2,2.0,9,2.0,999,9,9,2005,2.0,999.0,999,3.0,0.0,H,0.0,9.0,9.0,999,7.0,99.0,9,9,9,4
124,0.08503,_A,2013,42,43,HU,4.0,1,9,4,2,10,2013,1,1.0,25-39,005-EU28,00,000-OWN COUNTRY,1,99,0.0,9,9,99,000-OWN COUNTRY,2007,99.0,9,1,9,9,9,9,9,9,3,3,3,3,40,40,99,99,97,0,9,40,3,1,3,1,9,99,9.0,9999,99.0,99.0,9,9,9,4,2,0,0,1,1,1,1,0,0,0,0,0,0,1,9,9,9,9,9,4,2.0,9,2.0,999,9,9,1997,1.0,100.0,999,9.0,0.0,M,0.0,9.0,9.0,72,,99.0,H,9,9,3
156,0.15184,_A,2013,49,50,HU,4.0,1,9,1,2,12,2013,1,1.0,25-39,005-EU28,00,000-OWN COUNTRY,1,99,5.0,9,2,12,005-EU28,2012,7.0,9,1,9,1,9,9,0,3,3,3,2,2,40,54,0,0,1,1,1,60,3,1,3,1,9,99,9.0,9999,99.0,99.0,9,9,9,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,9,9,9,4,2.0,9,2.0,999,9,9,1997,1.0,900.0,999,9.0,0.0,M,,9.0,9.0,17,,,G,9,9,5
180,0.0286,_A,2013,34,35,HU,3.0,1,9,3,2,8,2013,1,2.0,15-24,000-OWN COUNTRY,00,000-OWN COUNTRY,1,99,9.0,9,9,99,NOT APPLICABLE,9999,99.0,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,9,9,99,9,9,9,9,9,99,0.0,9999,99.0,99.0,9,4,9,3,1,1,0,1,1,1,1,0,0,0,1,0,0,0,9,1,9,2,9,4,2.0,9,2.0,999,9,9,2011,2.0,999.0,999,1.0,0.0,M,0.0,9.0,9.0,999,,99.0,9,9,9,5
