,COEFF,QUARTER,REFYEAR,REFWEEK,INTWEEK,COUNTRY,DEGURBA,HHTYPE,HHINST,INTWAVE,INTQUEST,REM,YEAR,HHPRIV,SEX,AGE,NATIONAL,YEARESID,COUNTRYB,PROXY,NOWKREAS,STAPRO,SIGNISAL,COUNTRYW,YSTARTWK,MSTARTWK,FTPT,TEMP,TEMPDUR,HWUSUAL,HWACTUAL,HWOVERP,HWOVERPU,HOURREAS,WISHMORE,HWWISH,LOOKOJ,EXIST2J,STAPRO2J,HWACTUA2,EXISTPR,YEARPR,MONTHPR,STAPROPR,SEEKWORK,SEEKTYPE,SEEKDUR,METHODA,METHODB,METHODC,METHODD,METHODE,METHODF,METHODG,METHODH,METHODI,METHODJ,METHODK,METHODL,METHODM,WANTWORK,AVAILBLE,EDUCSTAT,EDUCLEVL,COURATT,COURLEN,ILOSTAT,ISCO1D,ISCOPR1D,DURUNE,EDUC4WN,HATLEV1D,STARTIME,LEAVCLAS,NACE1D,NACE2J1D,NACEPR1D,HHNBPERS,HATVOC,EDUCVOC,nace2j1d_g,nacepr1d_g
2,0.029080266,_A,2013,26,27,LU,0.0,1,9.0,1,2,6,2013,1,2,47.0,005-EU28,11.0,005-EU28,2,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99,99,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2002.0,99.0,9.0,4,3.0,3.0,1,0,1,1,1,0,0,0,0,1,1,0,0,9.0,1,2.0,9.0,2.0,999.0,2,999.0,999.0,3.0,0.0,M,999.0,8.0,9,9,9,,9,9,9,9
7,0.0463551007,_A,2013,20,22,LU,,1,9.0,1,2,5,2013,1,2,20.0,NO ANSWER,,NO ANSWER,1,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99,99,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2013.0,4.0,5.0,4,6.0,1.0,1,0,1,0,1,0,0,0,0,1,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2,999.0,500.0,1.0,0.0,,999.0,2.0,9,9,G,,9,9,9,G
9,0.0442239386,_A,2013,31,34,LU,0.0,1,9.0,1,2,8,2013,1,2,,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99,99,9.0,99.0,9.0,9.0,9.0,99.0,0.0,9999.0,99.0,9.0,4,3.0,1.0,1,1,1,0,1,1,0,0,0,1,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2,999.0,999.0,1.0,0.0,M,999.0,,9,9,9,,9,9,9,9
24,0.0441187041,_A,2013,35,36,LU,0.0,1,9.0,1,2,8,2013,1,1,32.0,NO ANSWER,,NO ANSWER,2,7,5.0,1,000-OWN COUNTRY,2010.0,99.0,1.0,2.0,4.0,40.0,0.0,0.0,0,99,0.0,40.0,1.0,1.0,9.0,99.0,9.0,9999.0,99.0,9.0,9,3.0,3.0,0,0,0,0,1,1,0,0,0,1,0,0,0,9.0,9,2.0,9.0,2.0,999.0,1,,999.0,9.0,0.0,M,36.0,,,9,9,02,9,9,9,9
77,0.0271270073,_A,2013,52,1,LU,3.0,1,9.0,1,2,12,2013,1,2,20.0,NO ANSWER,,NO ANSWER,1,99,,9,000-OWN COUNTRY,2013.0,10.0,1.0,2.0,1.0,40.0,32.0,0.0,0,12,0.0,40.0,1.0,1.0,9.0,99.0,9.0,9999.0,99.0,9.0,9,3.0,1.0,0,0,0,1,1,0,0,0,0,1,0,0,0,9.0,9,1.0,3.0,2.0,999.0,1,,999.0,9.0,1.0,L,2.0,,,9,9,,9,9,9,9
116,0.027188763,_A,2013,22,23,LU,,1,9.0,1,2,5,2013,1,2,47.0,NO ANSWER,,NO ANSWER,1,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99,99,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2012.0,12.0,5.0,4,2.0,2.0,1,1,1,1,1,1,1,0,0,1,1,0,1,9.0,1,2.0,9.0,1.0,10.0,2,999.0,200.0,1.0,1.0,H,999.0,3.0,9,9,K,03,9,9,9,H
119,0.0270387918,_A,2013,23,24,LU,0.0,1,9.0,1,2,6,2013,1,1,47.0,005-EU28,5.0,005-EU28,1,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99.0,99,99,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2013.0,3.0,5.0,4,2.0,1.0,1,0,1,0,1,1,0,0,0,1,1,0,0,9.0,1,2.0,9.0,2.0,999.0,2,999.0,200.0,1.0,0.0,H,999.0,3.0,9,9,J,04,9,9,9,H
125,0.0315379293,_A,2013,48,49,LU,3.0,1,9.0,1,2,11,2013,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,5.0,9,000-OWN COUNTRY,2012.0,1.0,1.0,1.0,9.0,40.0,40.0,0.0,0,97,0.0,40.0,1.0,1.0,9.0,99.0,9.0,9999.0,99.0,9.0,9,2.0,2.0,0,0,1,1,1,1,1,0,0,1,0,0,0,9.0,9,2.0,9.0,2.0,999.0,1,500.0,999.0,9.0,0.0,H,22.0,,G,9,9,04,9,9,9,9
155,0.0452726843,_A,2013,26,27,LU,0.0,1,9.0,1,2,6,2013,1,1,32.0,NO ANSWER,,NO ANSWER,1,99,5.0,9,000-OWN COUNTRY,2013.0,6.0,1.0,2.0,2.0,40.0,40.0,0.0,0,97,0.0,40.0,1.0,1.0,9.0,99.0,9.0,9999.0,99.0,9.0,9,2.0,2.0,1,0,1,1,1,1,1,0,0,1,0,0,0,9.0,9,2.0,9.0,2.0,999.0,1,,999.0,9.0,0.0,H,0.0,,,9,9,,9,9,9,9
165,0.0363419078,_A,2013,8,9,LU,3.0,1,9.0,1,2,2,2013,1,2,32.0,005-EU28,5.0,005-EU28,1,99,5.0,9,000-OWN COUNTRY,2009.0,99.0,1.0,2.0,6.0,40.0,43.0,0.0,3,1,0.0,40.0,1.0,1.0,9.0,99.0,9.0,9999.0,99.0,9.0,9,3.0,1.0,0,0,1,0,1,1,0,0,0,1,0,0,0,9.0,9,2.0,9.0,2.0,999.0,1,200.0,999.0,9.0,0.0,H,48.0,,H,9,9,02,9,9,9,9
