,COEFF,QUARTER,REFYEAR,REFWEEK,INTWEEK,COUNTRY,DEGURBA,HHTYPE,HHINST,INTWAVE,INTQUEST,REM,YEAR,HHPRIV,SEX,AGE,NATIONAL,YEARESID,COUNTRYB,PROXY,NOWKREAS,STAPRO,SIGNISAL,COUNTRYW,YSTARTWK,MSTARTWK,FTPT,TEMP,TEMPDUR,HWUSUAL,HWACTUAL,HWOVERP,HWOVERPU,HOURREAS,WISHMORE,HWWISH,LOOKOJ,EXIST2J,STAPRO2J,HWACTUA2,EXISTPR,YEARPR,MONTHPR,STAPROPR,SEEKWORK,SEEKTYPE,SEEKDUR,METHODA,METHODB,METHODC,METHODD,METHODE,METHODF,METHODG,METHODH,METHODI,METHODJ,METHODK,METHODL,METHODM,WANTWORK,AVAILBLE,EDUCSTAT,EDUCLEVL,COURATT,COURLEN,ILOSTAT,ISCO1D,ISCOPR1D,DURUNE,EDUC4WN,HATLEV1D,STARTIME,LEAVCLAS,NACE1D,NACE2J1D,NACEPR1D,HHNBPERS,HATVOC,EDUCVOC,nace2j1d_g,nacepr1d_g
0,0.0768337721,_A,2013,18,19,LV,0.0,1,9,1,2,5,2013,1,1,65,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2013.0,4.0,5,4,2.0,1.0,1,0,1,1,1,1,0,0,0,1,0,0,0,9.0,1,2.0,9,2.0,999.0,2,999.0,200.0,1.0,0.0,H,999,2.0,9,9,J,,9,9,9,H
20,0.1078156374,_A,2013,28,29,LV,0.0,1,9,2,2,7,2013,1,2,20,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99,9.0,99.0,9.0,9.0,9.0,99.0,0.0,9999.0,99.0,9,4,2.0,1.0,0,0,1,0,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9,2.0,999.0,2,999.0,999.0,1.0,0.0,H,999,,9,9,9,,9,9,9,9
31,0.0487164597,_A,2013,41,44,LV,3.0,1,9,2,2,10,2013,1,2,65,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2003.0,99.0,9,4,3.0,3.0,0,0,1,1,0,1,0,0,0,0,0,0,0,9.0,1,2.0,9,2.0,999.0,2,999.0,999.0,3.0,0.0,M,999,8.0,9,9,9,,9,9,9,9
36,0.0415730577,_A,2013,39,41,LV,3.0,1,9,2,2,9,2013,1,2,20,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2013.0,9.0,5,4,3.0,1.0,1,0,0,1,1,0,0,0,0,0,0,0,0,9.0,1,2.0,9,2.0,999.0,2,999.0,500.0,1.0,0.0,M,999,1.0,9,9,I,03,9,9,9,H
40,0.0327740621,_A,2013,10,11,LV,,1,9,1,2,3,2013,1,2,65,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2010.0,99.0,5,4,2.0,3.0,0,1,1,1,0,0,0,0,0,1,0,0,0,9.0,1,2.0,9,2.0,999.0,2,999.0,900.0,3.0,0.0,,999,7.0,9,9,C,02,9,9,9,B
46,0.1085574012,_A,2013,14,17,LV,0.0,1,9,2,2,4,2013,1,2,47,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2011.0,7.0,5,4,2.0,1.0,1,0,1,1,1,1,0,0,0,1,0,0,0,9.0,1,2.0,9,2.0,999.0,2,999.0,200.0,1.0,0.0,H,999,6.0,9,9,P,03,9,9,9,H
58,0.038873558,_A,2013,10,11,LV,0.0,1,9,3,2,3,2013,1,1,47,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2011.0,12.0,5,4,2.0,3.0,1,0,1,1,1,1,0,0,0,1,1,0,0,9.0,1,2.0,9,1.0,12.0,2,999.0,800.0,3.0,1.0,M,999,5.0,9,9,F,04,9,9,9,F
66,0.0417262669,_A,2013,45,46,LV,0.0,1,9,1,2,11,2013,1,2,32,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2007.0,99.0,5,4,5.0,1.0,0,0,0,1,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9,2.0,999.0,2,999.0,400.0,1.0,0.0,L,999,8.0,9,9,H,03,9,9,9,H
73,0.0306086874,_A,2013,35,36,LV,0.0,1,9,1,2,8,2013,1,1,65,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2012.0,9.0,5,4,2.0,2.0,1,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9,2.0,999.0,2,999.0,700.0,2.0,0.0,M,999,4.0,9,9,F,02,9,9,9,F
91,0.0416035233,_A,2013,11,14,LV,3.0,1,9,4,2,3,2013,1,2,47,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99,9.0,99.0,9.0,9.0,9.0,99.0,0.0,9999.0,99.0,9,4,3.0,3.0,0,0,1,1,1,1,0,0,0,1,0,1,0,9.0,1,2.0,9,2.0,999.0,2,999.0,999.0,3.0,0.0,L,999,,9,9,9,02,9,9,9,9
96,0.1288236953,_A,2013,36,38,LV,0.0,1,9,3,2,9,2013,1,2,47,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99,9.0,99.0,9.0,9.0,9.0,99.0,0.0,9999.0,99.0,9,4,2.0,1.0,0,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9,2.0,999.0,2,999.0,999.0,1.0,0.0,M,999,,9,9,9,02,9,9,9,9
103,0.0700335358,_A,2013,50,1,LV,3.0,1,9,3,2,12,2013,1,1,32,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2013.0,11.0,5,4,6.0,1.0,0,0,1,1,0,1,0,0,0,0,0,0,0,9.0,1,2.0,9,2.0,999.0,2,999.0,700.0,1.0,0.0,M,999,2.0,9,9,F,02,9,9,9,F
136,0.0658732069,_A,2013,41,42,LV,0.0,1,9,2,2,10,2013,1,1,32,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2013.0,4.0,5,4,2.0,1.0,0,0,1,1,0,1,0,0,0,0,0,0,0,9.0,1,2.0,9,2.0,999.0,2,999.0,900.0,1.0,0.0,L,999,4.0,9,9,H,,9,9,9,H
143,0.0404763338,_A,2013,18,20,LV,3.0,1,9,2,2,5,2013,1,2,47,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2012.0,11.0,5,4,3.0,1.0,0,0,1,1,0,1,0,0,0,0,0,0,0,9.0,1,2.0,9,2.0,999.0,2,999.0,900.0,1.0,0.0,M,999,4.0,9,9,P,6+,9,9,9,H
149,0.1957440106,_A,2013,8,13,LV,0.0,1,9,3,2,2,2013,1,1,47,NO ANSWER,,NO ANSWER,1.0,99,9.0,9,NO ANSWER,9999,99,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2009.0,99.0,5,4,6.0,3.0,0,0,1,1,0,1,0,0,0,0,0,0,0,9.0,1,2.0,9,2.0,999.0,2,999.0,700.0,3.0,0.0,M,999,8.0,9,9,F,03,9,9,9,F
223,0.0604035155,_A,2013,5,6,LV,3.0,1,9,4,2,1,2013,1,1,32,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99,9.0,99.0,9.0,9.0,9.0,99.0,0.0,9999.0,99.0,9,4,2.0,1.0,0,0,1,1,0,1,1,0,0,1,0,0,0,9.0,1,2.0,9,2.0,999.0,2,999.0,999.0,1.0,0.0,L,999,,9,9,9,04,9,9,9,9
237,0.0670276066,_A,2013,23,24,LV,3.0,1,9,2,2,6,2013,1,2,32,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,9,5.0,1,000-OWN COUNTRY,2013,4,1.0,1.0,9.0,40.0,0.0,0.0,0.0,99,0.0,40.0,1.0,1.0,9.0,99.0,9.0,9999.0,99.0,9,9,6.0,1.0,1,0,0,0,0,1,0,0,0,1,1,0,0,9.0,9,2.0,9,2.0,999.0,1,500.0,999.0,9.0,0.0,M,2,,H,9,9,03,9,9,9,9
285,0.0390621685,_A,2013,45,46,LV,3.0,1,9,2,2,11,2013,1,2,20,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2012.0,9.0,5,4,2.0,3.0,0,0,1,0,0,0,0,0,0,1,0,0,0,9.0,1,2.0,9,2.0,999.0,2,999.0,400.0,3.0,0.0,M,999,5.0,9,9,G,02,9,9,9,G
286,0.0531493767,_A,2013,10,11,LV,3.0,1,9,4,2,3,2013,1,1,47,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2008.0,99.0,5,4,2.0,3.0,0,1,1,1,1,1,1,0,0,0,0,0,0,9.0,1,2.0,9,2.0,999.0,2,999.0,500.0,3.0,0.0,L,999,8.0,9,9,R,02,9,9,9,H
301,0.0313344457,_A,2013,16,18,LV,3.0,1,9,1,2,4,2013,1,1,20,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99,9.0,99.0,9.0,9.0,9.0,99.0,0.0,9999.0,99.0,9,4,2.0,3.0,0,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9,2.0,999.0,2,999.0,999.0,3.0,0.0,M,999,,9,9,9,03,9,9,9,9
323,0.0396844922,_A,2013,26,28,LV,3.0,1,9,3,2,6,2013,1,1,47,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999,99,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2009.0,99.0,5,4,2.0,3.0,1,0,1,1,1,0,0,0,0,0,0,0,0,9.0,1,2.0,9,2.0,999.0,2,999.0,500.0,3.0,0.0,M,999,8.0,9,9,P,03,9,9,9,H
327,0.031072172,_A,2013,52,1,LV,3.0,1,9,2,2,12,2013,1,2,32,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9.0,9.0,9.0,99.0,99.0,99.0,99.0,99,9.0,99.0,9.0,9.0,9.0,99.0,1.0,2013.0,8.0,5,4,2.0,1.0,1,0,1,0,0,0,0,0,0,1,1,0,0,9.0,1,2.0,9,2.0,999.0,2,999.0,500.0,1.0,0.0,H,999,3.0,9,9,S,,9,9,9,H
