,COEFF,QUARTER,REFYEAR,REFWEEK,INTWEEK,COUNTRY,DEGURBA,HHTYPE,HHINST,INTWAVE,INTQUEST,REM,YEAR,HHPRIV,SEX,AGE,NATIONAL,YEARESID,COUNTRYB,PROXY,NOWKREAS,STAPRO,SIGNISAL,SUPVISOR,SIZEFIRM,COUNTRYW,YSTARTWK,MSTARTWK,WAYJFOUN,FTPT,FTPTREAS,TEMP,TEMPREAS,TEMPDUR,TEMPAGCY,SHIFTWK,EVENWK,NIGHTWK,SATWK,SUNWK,HWUSUAL,HWACTUAL,HWOVERP,HWOVERPU,HOURREAS,WISHMORE,WAYMORE,HWWISH,HOMEWK,LOOKOJ,LOOKREAS,EXIST2J,STAPRO2J,HWACTUA2,EXISTPR,YEARPR,MONTHPR,LEAVREAS,STAPROPR,SEEKWORK,SEEKREAS,SEEKTYPE,SEEKDUR,METHODA,METHODB,METHODC,METHODD,METHODE,METHODF,METHODG,METHODH,METHODI,METHODJ,METHODK,METHODL,METHODM,WANTWORK,AVAILBLE,AVAIREAS,PRESEEK,NEEDCARE,REGISTER,EDUCSTAT,EDUCLEVL,COURATT,COURLEN,COURPURP,COURWORH,HATYEAR,ILOSTAT,ISCO1D,ISCOPR1D,DURUNE,EDUC4WN,HATLEV1D,METHFW,LENTR4W,PURP4W,STARTIME,LEAVCLAS,INCDECIL,NACE1D,NACE2J1D,NACEPR1D,HHNBPERS
15,0.12269,Q3,2013,37,37,NL,4.0,1,9,2,2,9,2013,1,1.0,20.0,000-OWN COUNTRY,00,000-OWN COUNTRY,1,99,9.0,9,9.0,99.0,NOT APPLICABLE,9999.0,99.0,9.0,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,99,99.0,99.0,99.0,99.0,9.0,9,99.0,9.0,9.0,9,9,9,99.0,0.0,9999.0,99.0,99.0,9,4,9.0,5.0,1.0,0,0,0,1,0,1,0,0,0,0,0,0,0,9.0,1,9.0,2.0,9,4,1,2.0,2,999.0,9.0,9.0,2013.0,2.0,999.0,999.0,1.0,1,L,0.0,,,999.0,,99.0,9,9,9,5.0
42,0.14257,Q3,2013,36,36,NL,4.0,1,9,2,2,9,2013,1,2.0,47.0,000-OWN COUNTRY,00,000-OWN COUNTRY,1,99,5.0,9,9.0,99.0,NOT APPLICABLE,9999.0,99.0,9.0,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,99,99.0,99.0,99.0,99.0,9.0,9,99.0,9.0,9.0,9,9,9,99.0,1.0,2013.0,6.0,,3,4,9.0,5.0,1.0,1,1,1,1,0,1,0,0,0,0,0,0,0,9.0,1,9.0,,9,4,2,9.0,2,999.0,9.0,9.0,1987.0,2.0,999.0,,1.0,0,H,0.0,9.0,9.0,999.0,3.0,99.0,9,9,,2.0
51,0.10347,Q3,2013,29,29,NL,4.0,1,9,2,2,7,2013,1,1.0,47.0,000-OWN COUNTRY,00,000-OWN COUNTRY,1,99,5.0,9,2.0,13.0,NL,2007.0,99.0,9.0,1,9.0,1.0,9.0,9.0,0.0,3.0,3.0,3.0,3.0,3.0,39,39.0,0.0,0.0,97.0,0.0,9,39.0,3.0,1.0,7,1,9,99.0,9.0,9999.0,99.0,99.0,9,9,9.0,2.0,3.0,0,0,0,0,1,1,1,0,0,0,0,0,0,9.0,9,9.0,9.0,9,4,2,9.0,2,999.0,9.0,9.0,1990.0,1.0,200.0,999.0,9.0,0,H,0.0,9.0,9.0,72.0,,10.0,H,9,9,3.0
80,0.24612,Q4,2013,46,46,NL,4.0,1,9,2,2,11,2013,1,2.0,32.0,000-OWN COUNTRY,00,000-OWN COUNTRY,1,99,5.0,9,2.0,13.0,NL,2011.0,6.0,9.0,2,5.0,2.0,2.0,4.0,0.0,3.0,3.0,3.0,3.0,3.0,28,24.0,0.0,0.0,7.0,1.0,2,36.0,3.0,1.0,4,1,9,99.0,9.0,9999.0,99.0,99.0,9,9,9.0,2.0,3.0,0,1,0,1,0,0,1,0,0,0,0,0,0,9.0,2,3.0,9.0,9,4,2,9.0,2,999.0,9.0,9.0,2004.0,1.0,300.0,999.0,9.0,0,H,0.0,9.0,9.0,29.0,,7.0,H,9,9,2.0
85,0.03034,Q3,2013,31,31,NL,4.0,1,9,2,2,8,2013,1,2.0,65.0,000-OWN COUNTRY,00,000-OWN COUNTRY,1,99,9.0,9,9.0,99.0,NOT APPLICABLE,9999.0,99.0,9.0,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,99,99.0,99.0,99.0,99.0,9.0,9,99.0,9.0,9.0,9,9,9,99.0,1.0,2012.0,3.0,0.0,9,4,9.0,5.0,3.0,0,0,1,1,0,1,0,0,0,0,1,0,0,9.0,1,9.0,,9,2,2,9.0,2,999.0,9.0,9.0,1968.0,2.0,999.0,999.0,3.0,0,L,0.0,9.0,9.0,999.0,5.0,99.0,9,9,9,2.0
91,0.05168,Q4,2013,40,40,NL,4.0,1,9,2,2,10,2013,1,1.0,20.0,000-OWN COUNTRY,00,000-OWN COUNTRY,2,99,5.0,9,9.0,99.0,NOT APPLICABLE,9999.0,99.0,9.0,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,99,99.0,99.0,99.0,99.0,9.0,9,99.0,9.0,9.0,9,9,9,99.0,1.0,2013.0,6.0,,3,4,9.0,5.0,1.0,0,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,9.0,2.0,9,4,1,3.0,2,999.0,9.0,9.0,2013.0,2.0,999.0,,1.0,1,L,0.0,,,999.0,3.0,99.0,9,9,G,3.0
94,0.14139,Q2,2013,21,21,NL,4.0,1,9,2,2,5,2013,1,1.0,47.0,000-OWN COUNTRY,00,000-OWN COUNTRY,2,99,5.0,9,9.0,99.0,NOT APPLICABLE,9999.0,99.0,9.0,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,99,99.0,99.0,99.0,99.0,9.0,9,99.0,9.0,9.0,9,9,9,99.0,1.0,2013.0,1.0,1.0,3,4,9.0,2.0,2.0,1,1,1,1,1,1,1,0,0,0,0,0,0,9.0,1,9.0,1.0,9,4,2,9.0,2,999.0,9.0,9.0,1988.0,2.0,999.0,400.0,1.0,0,M,0.0,9.0,9.0,999.0,3.0,99.0,9,9,F,2.0
95,0.0817,Q4,2013,50,50,NL,4.0,1,9,2,2,12,2013,1,1.0,65.0,000-OWN COUNTRY,00,000-OWN COUNTRY,1,99,0.0,9,9.0,99.0,NL,2013.0,1.0,9.0,2,,9.0,9.0,9.0,9.0,9.0,2.0,2.0,2.0,2.0,2,4.0,99.0,99.0,1.0,1.0,4,32.0,1.0,1.0,7,1,9,99.0,9.0,9999.0,99.0,99.0,9,9,9.0,5.0,3.0,1,1,1,1,1,1,0,0,0,0,0,0,0,9.0,1,9.0,9.0,9,4,2,9.0,1,,2.0,,1985.0,1.0,200.0,999.0,9.0,1,H,0.0,,,11.0,,99.0,,9,9,2.0
97,0.3165,Q3,2013,31,31,NL,4.0,1,9,2,2,8,2013,1,2.0,32.0,000-OWN COUNTRY,00,000-OWN COUNTRY,2,99,5.0,9,2.0,12.0,NL,2009.0,99.0,9.0,2,6.0,1.0,9.0,9.0,0.0,3.0,3.0,3.0,3.0,3.0,32,32.0,0.0,0.0,97.0,0.0,9,28.0,3.0,1.0,5,1,9,99.0,9.0,9999.0,99.0,99.0,9,9,9.0,5.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.0,9,9.0,9.0,9,4,2,9.0,2,999.0,9.0,9.0,2012.0,1.0,400.0,999.0,9.0,0,H,0.0,9.0,9.0,48.0,,3.0,H,9,9,2.0
106,0.41215,Q2,2013,25,25,NL,3.0,1,9,2,2,6,2013,1,2.0,47.0,000-OWN COUNTRY,00,000-OWN COUNTRY,2,99,0.0,9,9.0,99.0,NL,2008.0,99.0,9.0,2,,9.0,9.0,9.0,9.0,9.0,1.0,3.0,3.0,3.0,10,8.0,99.0,99.0,15.0,1.0,4,24.0,3.0,1.0,7,1,9,99.0,9.0,9999.0,99.0,99.0,9,9,9.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.0,1,9.0,9.0,9,4,2,9.0,2,999.0,9.0,9.0,2012.0,1.0,200.0,999.0,9.0,0,H,12.0,9.0,9.0,60.0,,99.0,H,9,9,2.0
