,COEFF,QUARTER,REFYEAR,REFWEEK,INTWEEK,COUNTRY,HHTYPE,HHINST,INTWAVE,INTQUEST,REM,YEAR,HHPRIV,SEX,AGE,NATIONAL,YEARESID,COUNTRYB,PROXY,NOWKREAS,STAPRO,SIGNISAL,COUNTRYW,YSTARTWK,MSTARTWK,FTPT,TEMP,TEMPDUR,HWUSUAL,HWACTUAL,HWOVERP,HWOVERPU,HOURREAS,WISHMORE,HWWISH,LOOKOJ,EXIST2J,STAPRO2J,HWACTUA2,EXISTPR,YEARPR,MONTHPR,STAPROPR,SEEKWORK,SEEKTYPE,SEEKDUR,METHODA,METHODB,METHODC,METHODD,METHODE,METHODF,METHODG,METHODH,METHODI,METHODJ,METHODK,METHODL,METHODM,WANTWORK,AVAILBLE,EDUCSTAT,EDUCLEVL,COURATT,COURLEN,ILOSTAT,DURUNE,EDUC4WN,HATLEV1D,STARTIME,LEAVCLAS,NACE1D,NACE2J1D,NACEPR1D,HHNBPERS,HATVOC,EDUCVOC,nace2j1d_g,nacepr1d_g
7,0.2077494725,_A,2004,18,19,RO,1,9,2,2,4,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,1996,99,2,9.0,9.0,28,28,99.0,99.0,97.0,1.0,45.0,1,1,9,99,9.0,9999,99,9,9,2.0,3.0,0,0,1,1,0,0,0,0,0,0,0,0,0,9.0,1,2,9,2.0,999,1,9.0,0.0,M,96,,,9.0,9.0,03,9,9,9.0,9.0
54,0.3669769429,_A,2004,14,15,RO,1,9,2,2,4,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,0.0,9999,99,9,4,2.0,2.0,0,0,0,0,1,1,1,0,0,0,0,0,0,9.0,1,2,9,1.0,20,2,2.0,1.0,H,999,,9.0,9.0,9.0,02,9,9,9.0,9.0
71,0.2406235631,_A,2004,16,17,RO,1,9,2,2,4,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,2004,2,5,4,,3.0,0,0,1,0,1,0,0,1,0,0,0,0,0,9.0,1,2,9,2.0,999,2,1.0,0.0,M,999,2.0,9.0,9.0,,04,9,9,9.0,
113,0.4205794129,_A,2004,16,17,RO,1,9,1,2,4,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,1992,99,9,4,2.0,3.0,0,0,1,1,0,1,0,0,1,0,0,0,0,9.0,1,2,9,2.0,999,2,3.0,0.0,M,999,8.0,9.0,9.0,9.0,04,9,9,9.0,9.0
123,0.1686698773,_A,2004,16,17,RO,1,9,3,2,4,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,0.0,9999,99,9,4,2.0,2.0,1,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,2.0,0.0,M,999,,9.0,9.0,9.0,04,9,9,9.0,9.0
156,0.3685219342,_A,2004,17,18,RO,1,9,4,2,4,2004,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,2004,2,5,4,2.0,1.0,0,0,1,1,0,1,1,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,1.0,0.0,M,999,2.0,9.0,9.0,,04,9,9,9.0,
159,0.2596410248,_A,2004,21,22,RO,1,9,2,2,5,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,1981,99,2,9.0,9.0,0,30,99.0,99.0,,1.0,40.0,1,1,9,99,9.0,9999,99,9,9,,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.0,1,2,9,2.0,999,1,9.0,0.0,M,276,,,9.0,9.0,03,9,9,9.0,9.0
196,0.2097382289,_A,2004,17,18,RO,1,9,4,2,4,2004,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,2004,2,5,4,2.0,2.0,0,0,1,0,1,0,0,1,0,0,0,0,0,9.0,1,2,9,2.0,999,2,1.0,0.0,M,999,2.0,9.0,9.0,,03,9,9,9.0,
211,0.2351090733,_A,2004,15,16,RO,1,9,4,2,4,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999,99,9,9.0,9.0,99,99,99.0,99.0,99.0,9.0,99.0,9,9,9,99,1.0,2003,10,5,4,6.0,3.0,0,0,1,1,0,1,1,0,0,0,0,0,0,9.0,1,2,9,2.0,999,2,2.0,0.0,M,999,4.0,9.0,9.0,,03,9,9,9.0,
239,0.3377212444,_A,2004,20,21,RO,1,9,1,2,5,2004,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,5.0,9,000-OWN COUNTRY,2003,3,1,1.0,9.0,40,40,,,97.0,,60.0,1,1,9,99,9.0,9999,99,9,9,2.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.0,1,2,9,2.0,999,1,9.0,0.0,H,14,,,9.0,9.0,05,9,9,9.0,9.0
