,COEFF,QUARTER,REFYEAR,REFWEEK,INTWEEK,COUNTRY,DEGURBA,HHTYPE,HHINST,INTWAVE,INTQUEST,REM,YEAR,HHPRIV,SEX,AGE,NATIONAL,YEARESID,COUNTRYB,PROXY,NOWKREAS,STAPRO,SIGNISAL,COUNTRYW,YSTARTWK,MSTARTWK,FTPT,TEMP,TEMPDUR,HWUSUAL,HWACTUAL,HWOVERP,HWOVERPU,HOURREAS,WISHMORE,HWWISH,LOOKOJ,EXIST2J,STAPRO2J,HWACTUA2,EXISTPR,YEARPR,MONTHPR,STAPROPR,SEEKWORK,SEEKTYPE,SEEKDUR,METHODA,METHODB,METHODC,METHODD,METHODE,METHODF,METHODG,METHODH,METHODI,METHODJ,METHODK,METHODL,METHODM,WANTWORK,AVAILBLE,EDUCSTAT,EDUCLEVL,COURATT,COURLEN,ILOSTAT,ISCO1D,ISCOPR1D,DURUNE,EDUC4WN,HATLEV1D,STARTIME,LEAVCLAS,NACE1D,NACE2J1D,NACEPR1D,HHNBPERS,HATVOC,EDUCVOC,nace2j1d_g,nacepr1d_g
45,0.2044561225,_A,2013,40,41,RO,3.0,1,9,1,2,10,2013,1,1,20,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,9.0,9,NO ANSWER,9999,99,9,9,9,99,99,99,99,99,9,99,9,9,9,99,1,2013,2,0,4,1,2,0,0,0,0,1,0,0,1,0,1,0,0,0,9,1,2,9,2,999,2,999.0,900,2,0,L,999,4.0,9,9,F,04,9,9,9,F
74,0.0477921318,_A,2013,32,33,RO,3.0,1,9,1,2,8,2013,1,1,47,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,0.0,9,000-OWN COUNTRY,1990,99,1,9,9,34,34,99,99,97,1,40,1,1,9,99,9,9999,99,9,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,2,9,2,999,1,600.0,999,9,0,M,276,,A,9,9,05,9,9,9,9
77,0.0425042109,_A,2013,40,41,RO,3.0,1,9,2,2,10,2013,1,2,32,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,5.0,9,000-OWN COUNTRY,2011,5,1,9,9,40,40,99,99,97,0,40,1,1,9,99,9,9999,99,9,9,2,2,0,0,1,1,0,1,1,0,0,1,0,0,0,9,9,2,9,2,999,1,600.0,999,9,0,M,29,,A,9,9,04,9,9,9,9
107,0.0600580186,_A,2013,51,52,RO,0.0,1,9,4,2,12,2013,1,1,32,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,9.0,9,NO ANSWER,9999,99,9,9,9,99,99,99,99,99,9,99,9,9,9,99,1,2007,99,5,4,1,3,0,0,0,1,0,1,0,1,0,0,0,0,1,9,1,2,9,2,999,2,999.0,200,3,0,H,999,8.0,9,9,O,03,9,9,9,H
112,0.1616763684,_A,2013,49,50,RO,3.0,1,9,2,2,12,2013,1,2,32,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999,99,9,9,9,99,99,99,99,99,9,99,9,9,9,99,1,2013,11,0,4,2,3,1,0,1,1,0,0,0,0,0,1,0,0,0,9,1,2,9,2,999,2,999.0,900,1,0,L,999,2.0,9,9,A,6+,9,9,9,A
123,0.1683677061,_A,2013,49,50,RO,3.0,1,9,4,2,12,2013,1,1,32,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,0.0,9,000-OWN COUNTRY,1997,99,1,9,9,0,40,99,99,7,0,40,1,1,9,99,9,9999,99,9,9,3,2,0,0,1,1,0,0,0,0,0,1,0,0,0,9,9,2,9,2,999,1,600.0,999,9,0,L,192,,A,9,9,04,9,9,9,9
153,0.1199112262,_A,2013,16,17,RO,3.0,1,9,1,2,4,2013,1,1,32,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,9.0,9,NO ANSWER,9999,99,9,9,9,99,99,99,99,99,9,99,9,9,9,99,1,2013,3,0,4,2,1,1,0,1,1,1,1,0,0,0,1,1,0,0,9,1,2,9,2,999,2,999.0,900,1,0,M,999,2.0,9,9,A,04,9,9,9,A
256,0.0783831724,_A,2013,17,18,RO,3.0,1,9,2,2,4,2013,1,1,32,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,9.0,9,NO ANSWER,9999,99,9,9,9,99,99,99,99,99,9,99,9,9,9,99,1,2012,11,0,4,3,1,0,0,1,1,0,1,0,0,1,0,0,0,0,9,1,2,9,2,999,2,999.0,900,1,0,M,999,3.0,9,9,A,05,9,9,9,A
282,0.0644946087,_A,2013,16,17,RO,3.0,1,9,1,2,4,2013,1,1,32,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,5.0,9,000-OWN COUNTRY,2009,99,1,9,9,40,40,99,99,97,0,40,1,1,9,99,9,9999,99,9,9,3,2,0,0,1,1,1,1,1,0,0,1,0,0,0,9,9,2,9,2,999,1,600.0,999,9,0,M,48,,A,9,9,02,9,9,9,9
420,0.1275161126,_A,2013,41,42,RO,0.0,1,9,3,2,10,2013,1,1,47,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,9.0,9,NO ANSWER,9999,99,9,9,9,99,99,99,99,99,9,99,9,9,9,99,1,2009,99,5,4,3,1,0,0,1,1,1,1,0,0,0,0,0,0,0,9,1,2,9,2,999,2,999.0,500,1,0,M,999,8.0,9,9,G,04,9,9,9,G
