,COEFF,QUARTER,REFYEAR,REFWEEK,INTWEEK,COUNTRY,DEGURBA,HHTYPE,HHINST,INTWAVE,INTQUEST,REM,YEAR,HHPRIV,SEX,AGE,NATIONAL,YEARESID,COUNTRYB,PROXY,NOWKREAS,STAPRO,SIGNISAL,SUPVISOR,SIZEFIRM,COUNTRYW,YSTARTWK,MSTARTWK,WAYJFOUN,FTPT,FTPTREAS,TEMP,TEMPREAS,TEMPDUR,TEMPAGCY,SHIFTWK,EVENWK,NIGHTWK,SATWK,SUNWK,HWUSUAL,HWACTUAL,HWOVERP,HWOVERPU,HOURREAS,WISHMORE,WAYMORE,HWWISH,HOMEWK,LOOKOJ,LOOKREAS,EXIST2J,STAPRO2J,HWACTUA2,EXISTPR,YEARPR,MONTHPR,LEAVREAS,STAPROPR,SEEKWORK,SEEKREAS,SEEKTYPE,SEEKDUR,METHODA,METHODB,METHODC,METHODD,METHODE,METHODF,METHODG,METHODH,METHODI,METHODJ,METHODK,METHODL,METHODM,WANTWORK,AVAILBLE,AVAIREAS,PRESEEK,NEEDCARE,REGISTER,EDUCSTAT,EDUCLEVL,COURATT,COURLEN,COURPURP,COURWORH,HATYEAR,ILOSTAT,ISCO1D,ISCOPR1D,DURUNE,EDUC4WN,HATLEV1D,METHFW,LENTR4W,PURP4W,STARTIME,LEAVCLAS,INCDECIL,NACE1D,NACE2J1D,NACEPR1D,HHNBPERS
0,0.1565925,Q2,2013,19,20,SI,4.0,1,9,4,2,5,2013,1,2.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,9.0,99,NOT APPLICABLE,9999,99.0,9.0,9,9.0,9.0,9.0,9,9.0,9.0,9,9,9,9,99,99,99.0,99.0,99,9.0,9,99.0,9,9,9,9,9,99,1,2008,99.0,3.0,9,4,9.0,3,3,1,1,1,1,0,1,1,0,0,1,0,0,0,9.0,1,9.0,2,9,2,1,,2,999,9,9,2011,2.0,999.0,999.0,3.0,1,H,0.0,,,999,8.0,99.0,9,9,9,1
9,0.0191125,Q4,2013,51,52,SI,3.0,1,9,1,2,12,2013,1,1.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,9.0,99,NOT APPLICABLE,9999,99.0,9.0,9,9.0,9.0,9.0,9,9.0,9.0,9,9,9,9,99,99,99.0,99.0,99,9.0,9,99.0,9,9,9,9,9,99,1,2012,3.0,0.0,9,4,9.0,2,3,1,1,1,1,1,1,1,0,0,1,1,0,0,9.0,1,9.0,1,9,1,2,9.0,2,999,9,9,1983,2.0,999.0,999.0,3.0,0,M,0.0,9.0,9.0,999,6.0,99.0,9,9,9,4
25,0.0066475,Q1,2013,3,4,SI,4.0,1,9,1,2,1,2013,1,2.0,32.0,NO ANSWER,,NO ANSWER,1,99,9.0,9,9.0,99,NOT APPLICABLE,9999,99.0,9.0,9,9.0,9.0,9.0,9,9.0,9.0,9,9,9,9,99,99,99.0,99.0,99,9.0,9,99.0,9,9,9,9,9,99,1,2012,2.0,1.0,5,4,9.0,3,2,1,0,1,1,1,1,0,0,0,1,1,0,0,9.0,1,9.0,1,9,2,2,9.0,2,999,9,9,1997,2.0,999.0,800.0,2.0,0,M,0.0,9.0,9.0,999,4.0,99.0,9,9,G,4
86,0.0333075,Q1,2013,7,8,SI,4.0,1,9,4,2,2,2013,1,1.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,9.0,99,NOT APPLICABLE,9999,99.0,9.0,9,9.0,9.0,9.0,9,9.0,9.0,9,9,9,9,99,99,99.0,99.0,99,9.0,9,99.0,9,9,9,9,9,99,1,2003,99.0,99.0,9,4,9.0,3,2,1,0,1,1,0,1,1,0,0,1,1,0,0,9.0,2,5.0,1,9,1,2,9.0,2,999,9,9,1982,3.0,999.0,999.0,9.0,0,M,0.0,9.0,9.0,999,8.0,99.0,9,9,9,3
124,0.0063325,Q1,2013,9,10,SI,3.0,1,9,1,2,2,2013,1,2.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,5.0,9,2.0,15,000-OWN COUNTRY,2012,2.0,9.0,1,9.0,2.0,,4,0.0,3.0,3,3,2,3,40,40,,,97,1.0,3,50.0,3,1,2,1,9,99,9,9999,99.0,99.0,9,9,9.0,3,3,0,0,1,1,1,1,1,0,0,1,0,0,0,9.0,1,9.0,9,9,4,2,9.0,2,999,9,9,2001,1.0,500.0,999.0,9.0,0,M,0.0,9.0,9.0,12,,,H,9,9,4
167,0.03017,Q1,2013,9,10,SI,,1,9,4,2,2,2013,1,2.0,47.0,NO ANSWER,,NO ANSWER,2,99,9.0,9,9.0,99,NOT APPLICABLE,9999,99.0,9.0,9,9.0,9.0,9.0,9,9.0,9.0,9,9,9,9,99,99,99.0,99.0,99,9.0,9,99.0,9,9,9,9,9,99,1,2008,99.0,3.0,9,4,9.0,3,3,1,0,1,1,1,1,1,0,0,1,1,0,0,9.0,1,9.0,1,9,4,2,9.0,2,999,9,9,1980,2.0,999.0,999.0,3.0,0,L,0.0,9.0,9.0,999,8.0,99.0,9,9,9,4
173,0.083165,Q3,2013,32,33,SI,3.0,1,9,1,2,8,2013,1,1.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,9.0,99,NOT APPLICABLE,9999,99.0,9.0,9,9.0,9.0,9.0,9,9.0,9.0,9,9,9,9,99,99,99.0,99.0,99,9.0,9,99.0,9,9,9,9,9,99,1,1997,99.0,99.0,9,4,9.0,3,3,0,1,1,1,1,1,1,0,0,1,0,0,0,9.0,1,9.0,1,9,4,2,9.0,2,999,9,9,1981,2.0,999.0,999.0,3.0,0,L,0.0,9.0,9.0,999,8.0,99.0,9,9,9,1
195,0.0665,Q1,2013,11,12,SI,,1,9,3,2,3,2013,1,2.0,47.0,005-EU28,11.0,005-EU28,2,99,9.0,9,9.0,99,NOT APPLICABLE,9999,99.0,9.0,9,9.0,9.0,9.0,9,9.0,9.0,9,9,9,9,99,99,99.0,99.0,99,9.0,9,99.0,9,9,9,9,9,99,1,2010,99.0,0.0,9,4,9.0,3,3,1,1,1,1,1,1,1,0,0,1,1,0,0,9.0,1,9.0,1,9,2,2,9.0,2,999,9,9,1986,2.0,999.0,999.0,3.0,0,M,0.0,9.0,9.0,999,7.0,99.0,9,9,9,4
257,0.02788,Q4,2013,44,45,SI,4.0,1,9,3,2,10,2013,1,2.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,9.0,9,9.0,99,NOT APPLICABLE,9999,99.0,9.0,9,9.0,9.0,9.0,9,9.0,9.0,9,9,9,9,99,99,99.0,99.0,99,9.0,9,99.0,9,9,9,9,9,99,0,9999,99.0,99.0,9,4,9.0,2,3,1,0,1,1,1,1,1,0,0,1,1,0,0,9.0,1,9.0,2,9,2,1,5.0,2,999,9,9,2001,2.0,999.0,999.0,3.0,1,M,0.0,,,999,,99.0,9,9,9,4
261,0.0308225,Q1,2013,5,6,SI,3.0,1,9,4,2,1,2013,1,2.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,9.0,9,9.0,99,NOT APPLICABLE,9999,99.0,9.0,9,9.0,9.0,9.0,9,9.0,9.0,9,9,9,9,99,99,99.0,99.0,99,9.0,9,99.0,9,9,9,9,9,99,0,9999,99.0,99.0,9,4,9.0,3,2,1,1,1,1,1,1,1,0,0,1,1,0,0,9.0,1,9.0,2,9,2,2,9.0,2,999,9,9,2010,2.0,999.0,999.0,2.0,0,H,0.0,9.0,9.0,999,,99.0,9,9,9,6
