,COEFF,QUARTER,REFYEAR,REFWEEK,INTWEEK,COUNTRY,DEGURBA,HHTYPE,HHINST,INTWAVE,INTQUEST,REM,YEAR,HHPRIV,SEX,AGE,NATIONAL,YEARESID,COUNTRYB,PROXY,NOWKREAS,STAPRO,SIGNISAL,COUNTRYW,YSTARTWK,MSTARTWK,FTPT,TEMP,TEMPDUR,HWUSUAL,HWACTUAL,HWOVERP,HWOVERPU,HOURREAS,WISHMORE,HWWISH,LOOKOJ,EXIST2J,STAPRO2J,HWACTUA2,EXISTPR,YEARPR,MONTHPR,STAPROPR,SEEKWORK,SEEKTYPE,SEEKDUR,METHODA,METHODB,METHODC,METHODD,METHODE,METHODF,METHODG,METHODH,METHODI,METHODJ,METHODK,METHODL,METHODM,WANTWORK,AVAILBLE,EDUCSTAT,EDUCLEVL,COURATT,COURLEN,ILOSTAT,ISCO1D,ISCOPR1D,DURUNE,EDUC4WN,HATLEV1D,STARTIME,LEAVCLAS,NACE1D,NACE2J1D,NACEPR1D,HHNBPERS,HATVOC,EDUCVOC,nace2j1d_g,nacepr1d_g
2,0.0650475924,_A,2013,39,40,SK,0.0,1,9,2,2,9,2013,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999,99,9.0,9.0,9.0,99.0,99,99,99,99,9,99.0,9.0,9,9,99,1,2010.0,99,5,4,3.0,1.0,0,0,1,0,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9,2.0,999,2,999.0,300,1,0.0,M,999.0,7.0,9,9,Q,04,9,9,9,H
4,0.0713677544,_A,2013,37,39,SK,3.0,1,9,5,2,9,2013,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999,99,9.0,9.0,9.0,99.0,99,99,99,99,9,99.0,9.0,9,9,99,1,2008.0,99,5,4,2.0,3.0,1,0,1,1,1,1,0,0,0,0,0,0,0,9.0,2,2.0,9,2.0,999,3,999.0,700,9,0.0,M,999.0,8.0,9,9,F,02,9,9,9,F
6,0.0614635568,_A,2013,33,34,SK,0.0,1,9,5,2,8,2013,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,9.0,9,NO ANSWER,9999,99,9.0,9.0,9.0,99.0,99,99,99,99,9,99.0,9.0,9,9,99,1,2013.0,4,5,4,2.0,3.0,0,0,0,1,0,1,1,0,0,0,0,0,0,9.0,2,2.0,9,2.0,999,3,999.0,100,9,0.0,H,999.0,3.0,9,9,C,03,9,9,9,B
9,0.0639591699,_A,2013,8,9,SK,3.0,1,9,5,2,2,2013,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,9.0,9,NO ANSWER,9999,99,9.0,9.0,9.0,99.0,99,99,99,99,9,99.0,9.0,9,9,99,1,2010.0,99,0,4,2.0,3.0,0,1,1,1,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9,2.0,999,2,999.0,700,3,0.0,M,999.0,7.0,9,9,F,03,9,9,9,F
10,0.0712315907,_A,2013,36,37,SK,3.0,1,9,2,2,9,2013,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999,99,9.0,9.0,9.0,99.0,99,99,99,99,9,99.0,9.0,9,9,99,1,2013.0,6,5,4,2.0,1.0,1,0,0,1,0,1,0,0,0,0,0,0,0,9.0,1,2.0,9,2.0,999,2,999.0,300,1,0.0,M,999.0,3.0,9,9,C,03,9,9,9,B
16,0.0645627052,_A,2013,10,11,SK,0.0,1,9,3,2,3,2013,1,1,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2,99,9.0,9,NO ANSWER,9999,99,9.0,9.0,9.0,99.0,99,99,99,99,9,99.0,9.0,9,9,99,1,2002.0,99,9,4,6.0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.0,1,2.0,9,2.0,999,2,999.0,999,3,0.0,M,999.0,8.0,9,9,9,6+,9,9,9,9
30,0.0937412182,_A,2013,32,33,SK,3.0,1,9,2,2,8,2013,1,2,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,5.0,9,000-OWN COUNTRY,2013,5,2.0,2.0,3.0,20.0,20,0,0,97,1,40.0,1.0,1,9,99,9,9999.0,99,9,9,3.0,3.0,1,0,0,1,0,0,0,0,0,0,1,0,0,9.0,1,2.0,9,2.0,999,1,900.0,999,9,0.0,M,3.0,,H,9,9,6+,9,9,9,9
34,0.0361491562,_A,2013,52,2,SK,3.0,1,9,3,2,12,2013,1,2,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999,99,9.0,9.0,9.0,99.0,99,99,99,99,9,99.0,9.0,9,9,99,1,2011.0,9,5,4,3.0,3.0,0,1,0,1,1,0,0,0,0,0,0,0,0,9.0,1,2.0,9,2.0,999,2,999.0,900,3,0.0,L,999.0,7.0,9,9,O,6+,9,9,9,H
36,0.0572819093,_A,2013,43,44,SK,0.0,1,9,1,2,10,2013,1,1,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,9.0,9,NO ANSWER,9999,99,9.0,9.0,9.0,99.0,99,99,99,99,9,99.0,9.0,9,9,99,0,9999.0,99,9,4,2.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,9.0,1,2.0,9,2.0,999,2,999.0,999,3,0.0,M,999.0,,9,9,9,05,9,9,9,9
45,0.0755541029,_A,2013,23,24,SK,3.0,1,9,4,2,6,2013,1,1,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1,99,5.0,9,000-OWN COUNTRY,2007,99,2.0,2.0,3.0,10.0,10,0,0,97,1,40.0,1.0,1,9,99,9,9999.0,99,9,9,2.0,3.0,1,0,0,1,0,1,0,0,0,0,0,0,0,9.0,1,2.0,9,2.0,999,1,900.0,999,9,0.0,L,72.0,,H,9,9,,9,9,9,9
